rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef
-6.126342391304348,9,29.82608695652174,75,23,686,-0.8013617992401123,0.03,2.7508151531219482,11700,-49.36287307739258,0.16131098568439484
-7.1615165,8,32.666666666666664,87,24,784,-0.8212872743606567,0.03,3.3137431502342225,13660,-42.860355377197266,0.15639495849609375
-6.39567304,8,38.88,112,25,972,0.5066506862640381,0.03,3.3012266397476195,17420,-48.79193878173828,0.15323655307292938
3.5926879615384615,8,43.57692307692308,132,26,1133,-1.9544743299484253,0.03,2.5570701599121093,20640,-61.928611755371094,0.156882181763649
7.870565296296297,8,53.074074074074076,171,27,1433,0.12702734768390656,0.03,4.798435688018799,26640,-70.7955551147461,0.1710270345211029
15.343382785714287,8,57.142857142857146,193,28,1600,-0.7799884080886841,0.03,10.395397472381593,29980,-79.61262512207031,0.23687045276165009
24.080740586206897,8,60.51724137931034,213,29,1755,0.8551377058029175,0.03,15.990033531188965,33080,-116.0980224609375,0.3488028049468994
26.502777933333334,8,65.2,239,30,1956,-0.24964886903762817,0.03,23.527685928344727,37100,-132.03652954101562,0.38283562660217285
29.994901516129033,8,66.2258064516129,252,31,2053,0.15195927023887634,0.03,20.76112871170044,39040,-149.40902709960938,0.40821412205696106
38.01203675,8,70.625,279,32,2260,-0.0020194649696350098,0.03,17.386437368392944,43180,-172.7582550048828,0.3182731568813324
42.978295787878785,8,71.78787878787878,293,33,2369,0.08370812237262726,0.03,22.80781283378601,45360,-176.8583984375,0.29486989974975586
48.50720647058823,8,73.47058823529412,309,34,2498,-0.3584543764591217,0.03,17.153707408905028,47940,-178.04888916015625,0.26704806089401245
54.86971494285714,8,75.68571428571428,329,35,2649,1.2582777738571167,0.03,12.016708374023438,50960,-184.95391845703125,0.22958748042583466
62.48373011111111,8,78.19444444444444,350,36,2815,-1.1655335426330566,0.03,20.728004121780394,54280,-182.45567321777344,0.2576362192630768
66.79150127027027,8,78.97297297297297,364,37,2922,-0.5418210029602051,0.03,22.525728130340575,56420,-185.20663452148438,0.23435354232788086
70.73705034210526,7,80.07894736842105,380,38,3043,0.9551146030426025,0.03,23.37717146873474,58840,-192.1269073486328,0.24185004830360413
76.11181843589743,7,81.97435897435898,401,39,3197,-0.903927743434906,0.03,23.51835036277771,61920,-191.58477783203125,0.24499545991420746
80.35188055,7,83.475,419,40,3339,0.19168958067893982,0.03,23.664695310592652,64760,-190.4073486328125,0.26743873953819275
83.0068100487805,7,84.02439024390245,433,41,3445,0.35735368728637695,0.03,20.617396545410156,66880,-178.85169982910156,0.25453490018844604
87.50840130952382,7,85.45238095238095,452,42,3589,-0.19582635164260864,0.03,27.345718479156496,69760,-192.22402954101562,0.26892250776290894
92.1447371395349,7,87.18604651162791,473,43,3749,0.09627489745616913,0.03,32.160458374023435,72960,-199.33917236328125,0.3413203954696655
99.11529804545457,7,89.72727272727273,499,44,3948,-0.03293164074420929,0.03,25.28359909057617,76940,-223.32388305664062,0.3079800307750702
102.56616606666668,7,90.37777777777778,515,45,4067,-0.5826096534729004,0.03,35.58607234954834,79320,-218.65951538085938,0.3438427150249481
105.98073497826088,7,91.45652173913044,533,46,4207,-0.43800514936447144,0.03,25.937391662597655,82120,-227.91616821289062,0.27079352736473083
109.55358825531916,7,93.06382978723404,555,47,4374,0.13898909091949463,0.03,20.46072664260864,85460,-220.33294677734375,0.2520067095756531
111.39719833333334,7,93.25,568,48,4476,-0.3212912976741791,0.03,26.825411224365233,87500,-222.68084716796875,0.29796063899993896
112.65387093877551,7,93.3061224489796,580,49,4572,-0.23458817601203918,0.03,27.556488037109375,89420,-215.38563537597656,0.23706234991550446
117.00145490000001,7,94.66,601,50,4733,-0.3975663185119629,0.03,25.010211372375487,92640,-204.79627990722656,0.26261627674102783
120.81409184313726,7,96.31372549019608,625,51,4912,-0.5122270584106445,0.03,24.431586456298827,96220,-208.6846160888672,0.22625374794006348
124.01885453846155,7,97.61538461538461,646,52,5076,-0.6183539628982544,0.03,27.013652896881105,99500,-193.50405883789062,0.22148661315441132
127.78639035849058,7,99.24528301886792,670,53,5260,-0.48804253339767456,0.03,21.00699119567871,103180,-201.93728637695312,0.21293260157108307
132.63322227777778,7,101.11111111111111,696,54,5460,-1.9194928407669067,0.03,20.269394302368163,107180,-200.53778076171875,0.2457629293203354
136.68032685454548,7,102.83636363636364,721,55,5656,1.4419358968734741,0.03,15.239630603790284,111100,-193.73147583007812,0.17094507813453674
140.77750112500001,7,105.46428571428571,754,56,5906,-0.536969780921936,0.03,14.844770812988282,116100,-188.50469970703125,0.19316445291042328
143.72518954385964,7,106.70175438596492,776,57,6082,0.6790096759796143,0.03,12.847372198104859,119620,-185.6802215576172,0.1656462550163269
145.09939555172414,7,106.86206896551724,791,58,6198,0.09470629692077637,0.03,14.505428695678711,121940,-183.5693359375,0.15646715462207794
143.8809797118644,7,107.62711864406779,811,59,6350,-2.0587005615234375,0.03,13.241288232803345,124980,-172.23297119140625,0.17486323416233063
147.15490143333332,7,108.66666666666667,833,60,6520,0.44914865493774414,0.03,15.265057134628297,128380,-176.80612182617188,0.11798124015331268
149.03746039344261,7,109.81967213114754,856,61,6699,-0.6605653166770935,0.03,13.542166900634765,131960,-164.1910400390625,0.14082442224025726
152.29066788709676,7,111.43548387096774,883,62,6909,-1.383545160293579,0.03,12.324798393249512,136160,-162.80084228515625,0.14843745529651642
154.65964963492064,7,112.82539682539682,909,63,7108,-0.1456676721572876,0.03,12.79445161819458,140140,-158.8685760498047,0.17037436366081238
158.216516734375,7,114.25,936,64,7312,-1.5786960124969482,0.03,10.962331700325013,144220,-159.09390258789062,0.12615327537059784
159.4128862,7,115.01538461538462,957,65,7476,-2.1533942222595215,0.03,13.104952478408814,147500,-156.68646240234375,0.14942128956317902
162.41875304545454,7,116.03030303030303,981,66,7658,-0.6684104204177856,0.03,15.083599138259888,151140,-161.30307006835938,0.11676692962646484
167.77006734328359,7,119.1044776119403,1024,67,7980,-1.9308580160140991,0.03,11.952052521705628,157580,-154.49072265625,0.1366441696882248
170.88356994117646,7,120.22058823529412,1049,68,8175,1.8761358261108398,0.03,12.655303192138671,161480,-157.33590698242188,0.1288096159696579
173.76990388405798,7,121.15942028985508,1074,69,8360,-0.3002493679523468,0.03,11.718430280685425,165180,-156.11590576171875,0.10889120399951935
174.47446297142858,7,120.98571428571428,1088,70,8469,1.2084075212478638,0.03,11.484855723381042,167360,-157.99078369140625,0.10620271414518356
176.29230788732394,7,121.53521126760563,1109,71,8629,1.6237847805023193,0.03,11.683565807342529,170560,-162.75962829589844,0.10882624238729477
180.29932445833333,7,124.36111111111111,1152,72,8954,-0.10888344049453735,0.03,13.47835307121277,177060,-161.03158569335938,0.11929596960544586
