time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
3306,45,73.46666666666667,38.09807988888888,675,4,0.06297001093626023,0.003,64100,-3165.6697265625,8472.954956054688,13.876328086853027
3390,46,73.69565217391305,39.73862163043478,688,4,-0.05940951406955719,0.003,65780,-3975.376330566406,17426.93564453125,16.36328182220459
3495,47,74.36170212765957,41.85859925531914,704,4,0.04408297743648291,0.003,67880,-4988.0965576171875,23436.803125,21.69539794921875
3517,48,73.27083333333333,41.10515952083333,707,4,-0.345709054172039,0.003,68320,-5239.5279296875,26957.43076171875,22.919948196411134
3534,49,72.12244897959184,40.13443991836735,711,4,0.09191624894738197,0.003,68660,-5411.0577392578125,30496.04619140625,23.423787784576415
3553,50,71.06,39.307375840000006,715,4,0.473757217079401,0.003,69040,-5631.903833007813,29347.48466796875,24.696003341674803
3573,51,70.05882352941177,38.48041213725491,720,4,0.25536353327333927,0.003,69440,-5871.127514648438,32950.2443359375,24.4125506401062
3597,52,69.17307692307692,37.85379786538462,726,4,0.232450782507658,0.003,69920,-6068.517065429687,35039.650390625,25.507946968078613
3725,53,70.28301886792453,40.110630754716986,754,4,0.2927894741296768,0.003,72480,-7399.230322265625,41217.029296875,30.443032836914064
3841,54,71.12962962962963,41.21224411111112,779,4,-0.014554572105407716,0.003,74800,-8865.736376953126,57134.16953125,37.563998222351074
3937,55,71.58181818181818,42.59193363636364,798,4,-0.02499798759818077,0.003,76720,-9878.51455078125,61384.715625,39.798013877868655
4113,56,73.44642857142857,46.11104196428572,831,4,-0.4493635222315788,0.003,80240,-11576.8740234375,78612.37734375,44.87066383361817
4217,57,73.98245614035088,46.99909180701754,854,4,-0.04791902005672455,0.003,82320,-12366.144921875,96422.748046875,46.99367065429688
4290,58,73.96551724137932,47.13028870689655,871,4,-0.1894137181341648,0.003,83780,-13220.32080078125,124279.69140625,48.41096744537354
4375,59,74.15254237288136,48.33434911864406,890,4,0.6305033758282661,0.003,85480,-14168.492138671874,133778.25546875,50.72397994995117
4393,60,73.21666666666667,47.495082249999996,894,4,0.4714009664952755,0.003,85840,-14404.5482421875,154184.078125,51.83557548522949
4412,61,72.32786885245902,46.676305377049175,898,4,0.11389315575361252,0.003,86220,-14514.740576171875,158822.804296875,53.48859062194824
4512,62,72.7741935483871,47.166860177419345,921,4,0.2308564454317093,0.003,88220,-15626.27568359375,157930.97421875,58.074592971801756
4769,63,75.6984126984127,51.47185428571428,979,4,-0.6627298198640347,0.003,93360,-19207.062109375,241936.7890625,69.51796379089356
4946,64,77.28125,54.640034781249994,1013,4,-0.25886726230382917,0.003,96900,-22539.41455078125,322890.91875,81.39953842163087
4967,65,76.41538461538461,53.837673646153846,1018,4,0.12909670919179916,0.003,97320,-22937.344140625,342658.08125,83.42271537780762
5107,66,77.37878787878788,56.155206015151514,1046,4,-0.20192626118659973,0.003,100120,-25031.6732421875,409357.221875,90.40953330993652
5143,67,76.76119402985074,55.58060282089552,1055,4,-0.1174569457769394,0.003,100840,-25932.10048828125,421607.41875,94.13980293273926
5249,68,77.19117647058823,56.64854088235294,1079,4,0.1710531920194626,0.003,102960,-27084.9701171875,517074.4703125,95.3990379333496
5383,69,78.01449275362319,55.283107942028984,1110,4,0.5525965258479119,0.003,105640,-28789.349609375,540446.21875,107.4910099029541
5523,70,78.9,56.23239325714285,1141,4,-0.30782752856612206,0.003,108440,-30575.8017578125,646037.459375,117.52988967895507
5621,71,79.16901408450704,57.29826469014084,1160,4,0.016887176036834716,0.003,110400,-31671.0443359375,765679.171875,120.89033851623535
5771,72,80.15277777777777,57.519014319444445,1195,4,-0.27095934338867667,0.003,113400,-33453.6357421875,976591.45625,131.7590705871582
5870,73,80.41095890410959,58.26573080821918,1217,4,-0.9051142081618309,0.003,115380,-34426.8287109375,1077182.871875,135.69289169311523
6016,74,81.29729729729729,60.13901227027027,1249,4,0.2669175982475281,0.003,118300,-38162.4291015625,1975849.50625,163.43396606445313
6202,75,82.69333333333333,62.11673066666666,1279,4,-0.5546932443976402,0.003,122020,-48228.2240234375,3995464.05,223.0223747253418
6487,76,85.35526315789474,64.10025244736842,1343,4,-0.27665877193212507,0.003,127720,-76071.360546875,7082587.775,328.3543502807617
6717,77,87.23376623376623,66.6255891948052,1394,4,-0.11117097362875938,0.003,132320,-92537.137890625,8634912.575,336.95824127197267
6833,78,87.6025641025641,65.98681714102564,1417,4,0.24946015775203706,0.003,134640,-98370.057421875,8377281.975,330.59875640869143
6990,79,88.48101265822785,65.47868653164556,1438,4,0.4696151942014694,0.003,137780,-103301.953515625,9022657.35,316.0192184448242
7156,80,89.45,64.6796218375,1472,4,0.9930153042078018,0.003,141100,-106488.371484375,9613377.35,334.8295654296875
7275,81,89.81481481481481,66.32431206172839,1499,4,0.5004378840327263,0.003,143480,-109687.91875,9765148.325,352.181787109375
7340,82,89.51219512195122,65.93798503658536,1513,4,-0.3433250069618225,0.003,144780,-111265.704296875,10025444.65,364.2284423828125
