time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef,train/learning_rate,train/critic_loss
34,69.33815373529413,3,1949,625,57.3235294117647,0.7643845677375793,36960,-31.576011657714844,0.12458563596010208,0.03,18.201881170272827
35,67.2524764857143,3,1955,627,55.857142857142854,-0.012245506048202515,37080,-32.65486145019531,0.1257515698671341,0.03,22.037590742111206
36,65.29744005555557,3,1961,629,54.47222222222222,-0.5372816324234009,37200,-31.14754867553711,0.1266779601573944,0.03,18.004905462265015
37,63.44236735135135,3,1968,631,53.189189189189186,-0.6562617421150208,37340,-38.960445404052734,0.126868337392807,0.03,21.334337329864503
38,61.69982507894738,3,1975,634,51.973684210526315,0.25490957498550415,37480,-29.81765365600586,0.1268949806690216,0.03,16.134574127197265
39,60.036940512820514,3,1982,636,50.82051282051282,0.06713253259658813,37620,-29.709815979003906,0.12639285624027252,0.03,19.58849878311157
40,58.48289032499999,3,1989,638,49.725,-0.3437213599681854,37760,-28.26852035522461,0.12322881817817688,0.03,16.865698623657227
41,56.984837560975606,3,1996,641,48.68292682926829,0.08072330057621002,37900,-31.98432731628418,0.11995340138673782,0.03,18.030759477615355
42,55.56573749999999,3,2003,643,47.69047619047619,1.7513437271118164,38040,-33.47694396972656,0.11776287853717804,0.03,18.09013385772705
43,54.20777097674418,3,2010,645,46.74418604651163,0.4427815079689026,38180,-33.123226165771484,0.11940380930900574,0.03,19.150021028518676
44,52.90996690909091,3,2017,647,45.84090909090909,-0.408319354057312,38320,-34.16777038574219,0.12075429409742355,0.03,19.498597955703737
45,51.69373857777778,3,2024,650,44.977777777777774,0.37585681676864624,38460,-31.6434383392334,0.11989624053239822,0.03,20.230239868164062
46,50.50697804347826,3,2030,652,44.130434782608695,0.448708713054657,38580,-30.36736488342285,0.12023517489433289,0.03,16.875735378265382
47,49.36180665957447,3,2036,654,43.319148936170215,0.5229535102844238,38700,-31.369739532470703,0.12197742611169815,0.03,20.259515953063964
48,48.28226433333333,3,2043,656,42.5625,0.004794299602508545,38840,-32.07149124145508,0.12293615937232971,0.03,19.365808534622193
49,47.219683714285715,3,2049,658,41.816326530612244,0.3966671824455261,38960,-34.885719299316406,0.12481916695833206,0.03,17.935529470443726
