time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef
339,19,94.09059610526315,3,1041,54.78947368421053,-115.97718811035156,18800,-0.015175938606262207,0.003,24.8794545173645,0.18230018019676208
369,20,96.75567824999999,3,1128,56.4,-113.72288513183594,20540,0.20940354466438293,0.003,16.87646427154541,0.18015162646770477
405,21,102.13729109523808,3,1231,58.61904761904762,-110.96894836425781,22600,-0.5352246761322021,0.003,14.815578937530518,0.18269862234592438
413,22,99.29709872727273,3,1254,57.0,-114.29244995117188,23060,-0.09456532448530197,0.003,18.224710845947264,0.18180792033672333
421,23,96.61650243478262,3,1276,55.47826086956522,-110.77531433105469,23500,1.3364534378051758,0.003,29.165616512298584,0.18418441712856293
450,24,99.88488579166665,3,1362,56.75,-101.78155517578125,25220,-0.5598270297050476,0.003,24.69391050338745,0.19024184346199036
498,25,100.67171867999997,3,1497,59.88,-98.66449737548828,27920,0.07041984796524048,0.003,18.360054969787598,0.19220244884490967
510,26,97.09536584615383,3,1534,59.0,-95.79293823242188,28660,-0.5198968648910522,0.003,13.973786735534668,0.19295988976955414
533,27,94.93252948148147,2,1601,59.2962962962963,-95.56222534179688,30000,0.025335099548101425,0.003,12.259238290786744,0.19366590678691864
550,28,92.21155639285713,2,1648,58.857142857142854,-93.35259246826172,30940,-0.2035086750984192,0.003,20.072527170181274,0.19147107005119324
611,29,97.5800284137931,2,1823,62.86206896551724,-88.15274047851562,34440,-0.46092140674591064,0.003,13.469312763214111,0.20502984523773193
665,30,100.42800553333333,2,1978,65.93333333333334,-91.07122039794922,37540,-0.26224592328071594,0.003,7.280509996414184,0.1973591446876526
732,31,104.65267880645162,2,2173,70.09677419354838,-97.33641052246094,41440,0.47178614139556885,0.003,6.012862706184388,0.20198439061641693
846,32,115.62426303125001,2,2497,78.03125,-106.77333068847656,47920,0.06441719830036163,0.003,10.641681218147278,0.1624946892261505
875,33,117.94152387878789,2,2583,78.27272727272727,-106.61162567138672,49640,-0.69170743227005,0.003,5.769643712043762,0.15702199935913086
904,34,119.90198494117648,2,2667,78.44117647058823,-105.49252319335938,51320,0.7685039043426514,0.003,8.142602396011352,0.1578867882490158
924,35,118.81587454285717,2,2723,77.8,-107.34953308105469,52440,0.07668304443359375,0.003,12.026425170898438,0.17366595566272736
948,36,119.58113588888892,2,2794,77.61111111111111,-97.62715911865234,53860,0.9373517632484436,0.003,22.122345304489137,0.1893138438463211
1086,37,128.1039636756757,2,3200,86.48648648648648,-90.46293640136719,61980,-0.038461897522211075,0.003,6.415241837501526,0.18200473487377167
1249,38,140.30145415789477,2,3674,96.6842105263158,-88.17061614990234,71460,1.165302038192749,0.003,10.623251485824586,0.152034193277359
1290,39,142.16389784615387,2,3792,97.23076923076923,-95.70903015136719,73820,-0.12067672610282898,0.003,7.5214297533035275,0.20104636251926422
1320,40,143.20837354999998,2,3880,97.0,-92.89842224121094,75580,-0.22084590792655945,0.003,5.19989845752716,0.17848379909992218
1350,41,144.38821187804876,2,3968,96.78048780487805,-93.58992004394531,77340,-0.33678126335144043,0.003,6.458388543128967,0.15174821019172668
1380,42,145.3973132142857,2,4053,96.5,-85.53767395019531,79040,0.06700988858938217,0.003,10.906790924072265,0.14208707213401794
1456,43,147.9179001860465,2,4277,99.46511627906976,-86.30995178222656,83520,-0.08002778887748718,0.003,12.478902077674865,0.1675061285495758
1606,44,155.19615474999998,2,4716,107.18181818181819,-86.37986755371094,92300,0.08744122087955475,0.003,5.668932008743286,0.15038855373859406
1736,45,160.07063928888888,2,5089,113.08888888888889,-82.01692962646484,99760,0.0155915766954422,0.003,9.598499274253845,0.1374427080154419
2085,46,178.39828341304346,2,6089,132.3695652173913,-88.60516357421875,119760,0.6732948422431946,0.003,5.598790454864502,0.15056964755058289
2433,47,196.01817885106385,2,7089,150.82978723404256,-98.05838012695312,139760,0.08305148780345917,0.003,7.938525986671448,0.11452136933803558
2777,48,212.9336788125,2,8089,168.52083333333334,-109.53240966796875,159760,-0.5007442831993103,0.003,2.465361976623535,0.12377254664897919
3111,49,228.6732197755102,2,9052,184.73469387755102,-113.08838653564453,179020,-0.22631429135799408,0.003,3.150212585926056,0.10626982897520065
3281,50,234.7978171,2,9535,190.7,-111.33930969238281,188680,-0.5795665979385376,0.003,4.047940254211426,0.07676614075899124
3635,51,250.02194162745096,2,10535,206.5686274509804,-103.22361755371094,208680,0.1369391679763794,0.003,3.46438353061676,0.06148981675505638
3989,52,264.61279009615384,2,11535,221.82692307692307,-103.53805541992188,228680,-0.22013434767723083,0.003,1.901972085237503,0.057570476084947586
4335,53,278.66758515094335,2,12535,236.50943396226415,-104.14511108398438,248680,-0.27294522523880005,0.003,2.395324867963791,0.05382074788212776
4680,54,292.22772009259256,2,13535,250.64814814814815,-105.6961669921875,268680,-0.22737744450569153,0.003,1.6825016021728516,0.06632433831691742
5029,55,305.2983732181818,2,14535,264.27272727272725,-100.65995025634766,288680,-0.3562130033969879,0.003,1.5112640142440796,0.05417251214385033
5372,56,317.9365368035714,2,15535,277.4107142857143,-100.76622009277344,308680,-1.7391188144683838,0.003,4.836771190166473,0.04155256971716881
5723,57,330.1289873333333,2,16535,290.0877192982456,-96.61124420166016,328680,0.48125159740448,0.003,2.0515299260616304,0.04176418110728264
6075,58,341.8851836724138,2,17535,302.32758620689657,-95.8663330078125,348680,-0.02630738914012909,0.003,1.304727452993393,0.041140295565128326
6429,59,353.2772694576271,2,18535,314.1525423728813,-97.4886474609375,368680,0.02564859390258789,0.003,1.0472794204950333,0.033020343631505966
6779,60,364.21676798333334,2,19535,325.5833333333333,-94.90618896484375,388680,-0.4110136032104492,0.003,2.529910483956337,0.03021414950489998
7126,61,374.81937803278686,2,20535,336.6393442622951,-94.12620544433594,408680,0.7037387490272522,0.003,2.9199067264795304,0.03861816227436066
7483,62,385.0917519193548,2,21535,347.33870967741933,-94.29023742675781,428680,-0.1860761046409607,0.003,1.7363286286592483,0.023166416212916374
7836,63,395.1075060952381,2,22535,357.6984126984127,-94.04240417480469,448680,0.2841610908508301,0.003,1.7741987586021424,0.03086378425359726
8185,64,404.80272239062504,2,23535,367.734375,-94.38748168945312,468680,-0.17710009217262268,0.003,2.2375694304704665,0.01975817047059536
8537,65,414.29381896923076,2,24535,377.46153846153845,-94.29837036132812,488680,-0.4698922336101532,0.003,4.908829468488693,0.020538097247481346
8888,66,423.4924214848485,2,25535,386.8939393939394,-94.56913757324219,508680,-1.4519622325897217,0.003,0.9627188712358474,0.023604946210980415
9240,67,432.4158242835821,2,26535,396.04477611940297,-95.051513671875,528680,-1.2210614681243896,0.003,1.3269726276397704,0.02339302934706211
9587,68,441.05817911764706,2,27535,404.9264705882353,-94.212646484375,548680,0.14525923132896423,0.003,0.8000729665160179,0.023287005722522736
9937,69,449.459460942029,2,28535,413.5507246376812,-95.15589904785156,568680,-0.2563927173614502,0.003,1.1860072046518326,0.022928036749362946
9970,70,445.0179175142857,2,28630,409.0,-95.14936828613281,570580,-0.19592170417308807,0.003,3.7424642205238343,0.026469795033335686
10317,71,453.1008554507043,2,29630,417.32394366197184,-92.1032485961914,590580,0.37055692076683044,0.003,1.109028509259224,0.024318048730492592
10665,72,461.01059624999994,2,30630,425.4166666666667,-91.70298767089844,610580,-0.016321584582328796,0.003,0.9380134508013726,0.02223573625087738
11016,73,468.6891161232876,2,31630,433.28767123287673,-91.23064422607422,630580,1.3418221473693848,0.003,1.1072124242782593,0.02330651693046093
11363,74,476.1474796216215,2,32630,440.94594594594594,-91.98570251464844,650580,-0.49920839071273804,0.003,0.9782655030488968,0.02488073706626892
