time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate
8409,4024,96.65517241379311,190.1444494597701,2,87,166160,-188.09130859375,5.690447854995727,0.2547404170036316,-0.04262148588895798,0.003
8523,4063,96.85227272727273,190.352172125,2,88,168440,-186.71827697753906,6.227695035934448,0.2521800100803375,-0.39251238107681274,0.003
8846,4172,99.3932584269663,195.9294747191011,2,89,174900,-178.4302215576172,6.621578884124756,0.2813412547111511,0.5195773839950562,0.003
8957,4207,99.52222222222223,195.7128957888889,2,90,177120,-181.78993225097656,6.212439799308777,0.29961514472961426,-0.1827176809310913,0.003
9220,4297,101.31868131868131,199.73138425274726,2,91,182380,-189.92034912109375,7.452827405929566,0.28228244185447693,0.019902758300304413,0.003
9459,4374,102.81521739130434,203.5590338695652,2,92,187160,-195.55691528320312,4.9817835807800295,0.24277010560035706,-0.28549444675445557,0.003
9711,4455,104.41935483870968,207.7712316451613,2,93,192200,-190.61557006835938,4.234441745281219,0.22084404528141022,-0.17307864129543304,0.003
9917,4526,105.5,209.48469865957446,2,94,196320,-198.66278076171875,4.7530990719795225,0.22428648173809052,-0.057107530534267426,0.003
10376,4683,109.22105263157894,219.76753215789472,2,95,205500,-198.7027130126953,3.5802582263946534,0.16230568289756775,0.22151100635528564,0.003
10557,4744,109.96875,222.32350717708334,2,96,209120,-201.13088989257812,3.5018943428993223,0.14906439185142517,-0.7583754062652588,0.003
10853,4842,111.88659793814433,228.34765487628866,2,97,215040,-198.53244018554688,4.001548659801483,0.1580202281475067,0.8408581018447876,0.003
10956,4877,111.79591836734694,228.40492346938774,2,98,217100,-202.8383026123047,4.342011177539826,0.14552535116672516,-0.3661006987094879,0.003
11090,4921,112.02020202020202,229.42310206060603,2,99,219780,-205.80262756347656,4.089982724189758,0.1482616513967514,-0.020289674401283264,0.003
11296,4989,112.96,233.30104240999998,2,100,223900,-213.85012817382812,6.628303790092469,0.154180645942688,-0.3094996213912964,0.003
11398,5025,113.73,235.26136431999996,2,101,225940,-212.41580200195312,4.289722871780396,0.1625262051820755,0.36935868859291077,0.003
11561,5083,115.21,239.94643430999997,2,102,229200,-204.7306365966797,8.049516224861145,0.15881067514419556,-0.11471567302942276,0.003
11705,5134,116.44,243.99746611999996,2,103,232080,-225.50616455078125,5.481902647018432,0.17527583241462708,0.6222480535507202,0.003
11842,5180,117.42,247.54875182,2,104,234820,-218.71484375,5.39479706287384,0.17560549080371857,0.13594429194927216,0.003
11996,5234,118.62,251.70737413999998,2,105,237900,-210.79624938964844,5.7083546161651615,0.18781626224517822,-0.4841577112674713,0.003
12145,5286,119.38,254.78411775999996,2,106,240880,-215.391845703125,5.807385623455048,0.20353659987449646,0.35641032457351685,0.003
12297,5337,119.59,256.60130588,2,107,243920,-225.1279296875,13.8695645570755,0.18466126918792725,-0.3686436414718628,0.003
12500,5403,121.09,261.78621118,2,108,247980,-226.02505493164062,10.271174764633178,0.18175143003463745,-0.5168259143829346,0.003
12687,5466,121.48,264.33412563,2,109,251720,-221.0609893798828,6.509460842609405,0.16450566053390503,0.02066010981798172,0.003
12906,5540,123.21,270.03160438,2,110,256100,-222.644287109375,6.566127026081086,0.1564805507659912,0.3708283603191376,0.003
13130,5615,124.5,274.53908697,2,111,260580,-223.5330810546875,6.709531188011169,0.14710615575313568,-0.41052618622779846,0.003
13336,5683,126.3,280.02330885,2,112,264700,-231.54884338378906,6.368536221981048,0.15072952210903168,0.14626622200012207,0.003
13502,5739,127.7,284.39712627,2,113,268020,-225.82325744628906,5.40669025182724,0.14246198534965515,0.007570859044790268,0.003
13655,5790,128.18,286.63676645,2,114,271080,-228.71542358398438,6.421199440956116,0.1637762188911438,-0.16040146350860596,0.003
13838,5852,129.01,290.08100316,2,115,274740,-232.20779418945312,7.612110877037049,0.1604345142841339,-0.1606326699256897,0.003
14001,5906,129.72,293.16976417,2,116,278000,-227.50527954101562,6.571557354927063,0.18381814658641815,-0.08539733290672302,0.003
14185,5968,130.74,297.14577636999996,2,117,281680,-228.28173828125,6.333873820304871,0.18536828458309174,-0.1877826452255249,0.003
14411,6044,132.12,302.14459619,2,118,286200,-217.17544555664062,7.054781270027161,0.16164278984069824,-0.02659153938293457,0.003
14585,6101,132.85,305.40797651,2,119,289680,-215.14654541015625,6.4642189025878904,0.16468487679958344,-0.2755480408668518,0.003
14765,6159,133.75,309.0064271,2,120,293280,-208.88784790039062,4.813138127326965,0.18842554092407227,0.3615722060203552,0.003
14906,6203,135.01,311.91199634000003,2,121,296100,-214.49728393554688,7.484022569656372,0.20353658497333527,-0.025265486910939217,0.003
15155,6286,136.59,317.54063771,2,122,301080,-221.42510986328125,5.476669251918793,0.18702039122581482,-0.2857171893119812,0.003
15380,6360,138.17,323.23408471,2,123,305580,-217.62234497070312,5.691619050502777,0.1632087230682373,-0.2373163104057312,0.003
15604,6435,139.39,328.0352809,2,124,310060,-209.8792724609375,7.5479861974716185,0.13018816709518433,-0.2830846905708313,0.003
15783,6496,140.11,331.02037236,2,125,313640,-216.57992553710938,4.486038613319397,0.1383969485759735,0.05927370488643646,0.003
16011,6569,141.52,336.19450633,2,126,318200,-211.39007568359375,4.2572833776474,0.1514202058315277,-0.01709333062171936,0.003
16237,6645,142.84,341.06282437999994,2,127,322720,-225.21273803710938,5.1565927028656,0.136432483792305,-0.09675039350986481,0.003
16472,6724,144.71,347.28638728999994,2,128,327420,-227.6104736328125,5.765321409702301,0.16720528900623322,1.0454236268997192,0.003
16696,6795,145.87,352.01354426,2,129,331900,-225.42051696777344,4.832987999916076,0.18498873710632324,0.3865819275379181,0.003
16929,6870,147.2,357.30296351,2,130,336560,-227.31607055664062,5.3998401999473575,0.18008923530578613,0.030989117920398712,0.003
17152,6945,148.42,362.0433911,2,131,341020,-226.9617919921875,4.4063904047012326,0.18098708987236023,-0.4168091416358948,0.003
17385,7018,149.73,367.26425407000005,2,132,345680,-229.28494262695312,4.92797178030014,0.18025070428848267,-0.12220131605863571,0.003
17714,7126,152.27,376.38848416,2,133,352260,-224.4131317138672,3.9348328471183778,0.17697113752365112,-0.15507559478282928,0.003
17850,7172,152.61,377.32471462,2,134,354980,-222.89505004882812,5.597327291965485,0.18344393372535706,0.2678427994251251,0.003
17985,7217,152.99,378.55942789999995,2,135,357680,-221.1629180908203,5.12153570652008,0.18143011629581451,-0.315731942653656,0.003
18288,7318,154.86,385.41432584999995,2,136,363740,-221.64089965820312,4.487907207012176,0.18139831721782684,0.10744557529687881,0.003
18558,7410,156.54,391.600965,2,137,369140,-221.89776611328125,7.241350603103638,0.17075490951538086,0.8590052127838135,0.003
18809,7493,157.73,396.41575244,2,138,374160,-216.22882080078125,4.473350882530212,0.16942113637924194,0.07141560316085815,0.003
19107,7587,160.23,405.13751869,2,139,380120,-221.86550903320312,4.749790561199188,0.18159082531929016,0.5965138673782349,0.003
19386,7680,162.15,412.35576783000005,2,140,385700,-217.75775146484375,4.340099668502807,0.1668924242258072,0.1782204955816269,0.003
19705,7781,164.3,420.21508678,2,141,392080,-222.0072021484375,6.308528089523316,0.1757141500711441,0.06713597476482391,0.003
19976,7871,165.98,426.41415805,2,142,397500,-212.80812072753906,3.7973454117774965,0.16634011268615723,-0.4505377411842346,0.003
20259,7956,167.48,432.40469537999996,2,143,403160,-225.0177001953125,4.398460233211518,0.17023780941963196,-0.19818976521492004,0.003
20592,8065,169.72,440.63657513000004,2,144,409820,-218.2138671875,8.079313147068024,0.17748421430587769,0.44165655970573425,0.003
20897,8167,171.43,447.57916718000007,2,145,415920,-220.3539276123047,4.044619381427765,0.16433964669704437,0.015161940827965736,0.003
21173,8257,173.1,453.9348607300001,2,146,421440,-219.66995239257812,3.559628939628601,0.16818071901798248,0.05655963346362114,0.003
21593,8395,176.28,465.12654736,2,147,429840,-217.07760620117188,4.1188271880149845,0.16491833329200745,0.2265676110982895,0.003
22199,8588,181.16,482.0486348400001,2,148,441960,-225.31979370117188,4.219615340232849,0.17922472953796387,0.2749551832675934,0.003
22986,8837,187.71,504.01462034,2,149,457700,-225.98342895507812,3.9073455214500425,0.21070921421051025,0.04113902151584625,0.003
23581,9030,192.39,520.30186902,2,150,469600,-225.58651733398438,4.354462051391602,0.20517803728580475,-0.3508487045764923,0.003
24581,9345,201.21,547.91259109,2,151,489600,-237.7933349609375,3.7461530923843385,0.1810206174850464,-0.0244126133620739,0.003
25581,9668,210.06,575.7536585800001,2,152,509600,-241.38404846191406,4.606494879722595,0.17232422530651093,0.039836298674345016,0.003
26571,9986,219.64,606.2853873,2,153,529400,-242.10794067382812,3.834405553340912,0.17045770585536957,0.9722204208374023,0.003
27571,10293,228.34,633.9863573,2,154,549400,-243.00479125976562,3.9299813866615296,0.17659622430801392,-0.39581865072250366,0.003
28571,10592,237.16,661.5702075099999,2,155,569400,-250.6773681640625,3.5463748574256897,0.16848598420619965,0.18714392185211182,0.003
29158,10780,242.0,677.5821311099999,2,156,581140,-250.12820434570312,3.5074177384376526,0.16730932891368866,-0.12873372435569763,0.003
29293,10823,242.21,677.9701023399998,2,157,583840,-248.15985107421875,4.5151624321937565,0.17387670278549194,0.08083613216876984,0.003
29444,10872,242.61,678.9258214299999,2,158,586860,-256.2311706542969,6.572118353843689,0.17769043147563934,0.35491758584976196,0.003
30444,11183,251.61,706.9461454999998,2,159,606860,-249.60232543945312,3.4350967407226562,0.16690310835838318,-0.18427789211273193,0.003
31444,11493,260.58,735.20455239,2,160,626860,-258.931640625,4.173691070079803,0.16472792625427246,-0.5036722421646118,0.003
32444,11800,269.51,761.9724577200001,2,161,646860,-254.4208221435547,2.5355955839157103,0.15554791688919067,0.21755412220954895,0.003
33444,12106,278.46,789.41789355,2,162,666860,-258.07293701171875,3.034246361255646,0.15700039267539978,-0.34031999111175537,0.003
34444,12405,287.23,816.8898105400002,2,163,686860,-262.62542724609375,3.655079209804535,0.14122797548770905,0.40453040599823,0.003
35444,12726,296.06,844.7820838900001,2,164,706860,-264.67852783203125,4.053828138113022,0.1335725337266922,0.013911094516515732,0.003
36444,13034,305.16,874.16725969,2,165,726860,-265.43670654296875,3.5858646035194397,0.13025854527950287,-0.10784682631492615,0.003
37444,13338,313.91,901.1057529400001,2,166,746860,-263.75433349609375,4.170470201969147,0.13336461782455444,-0.14094269275665283,0.003
38444,13641,323.37,932.3495598900001,2,167,766860,-266.4302673339844,2.8266148209571837,0.12508609890937805,-0.17060023546218872,0.003
39444,13953,331.59,959.9969233400001,2,168,786860,-259.333984375,3.2540403485298155,0.13363413512706757,-0.3763650357723236,0.003
40444,14264,341.11,990.3340086699999,2,169,806860,-261.11322021484375,3.9982733368873595,0.1158585175871849,-0.3037503957748413,0.003
41444,14575,350.76,1020.76536316,2,170,826860,-270.45098876953125,3.157394814491272,0.12909115850925446,-0.07876398414373398,0.003
42444,14881,360.25,1050.14590541,2,171,846860,-274.078857421875,3.28523051738739,0.12373590469360352,-0.3686554431915283,0.003
43444,15186,369.81,1080.70428683,2,172,866860,-278.39239501953125,3.9225828886032104,0.10949322581291199,-0.02196866273880005,0.003
44444,15493,378.05,1108.67223081,2,173,886860,-278.1050720214844,4.205437672138214,0.12565159797668457,-0.08709260821342468,0.003
45444,15797,386.99,1137.76669376,2,174,906860,-273.488037109375,3.293872368335724,0.10559496283531189,0.11906060576438904,0.003
46444,16103,394.97,1165.18661512,2,175,926860,-273.4546203613281,3.039914584159851,0.09879293292760849,0.09351100772619247,0.003
47444,16407,403.77,1194.30166882,2,176,946860,-273.7814025878906,3.3712003946304323,0.09998059272766113,0.06061403453350067,0.003
48444,16710,411.41,1218.63310633,2,177,966860,-282.2769470214844,2.892861068248749,0.09893709421157837,1.5491762161254883,0.003
49444,17006,420.38,1247.72347939,2,178,986860,-284.05230712890625,3.207294237613678,0.09883451461791992,-0.7495729923248291,0.003
50444,17304,429.38,1277.16280329,2,179,1006860,-283.595703125,3.028590649366379,0.09280630946159363,0.9888306856155396,0.003
51444,17604,438.52,1307.4788427600001,2,180,1026860,-283.4346618652344,2.8699906766414642,0.09667602926492691,0.730185866355896,0.003
52444,17902,447.12,1335.50473785,2,181,1046860,-282.460693359375,2.6385573863983156,0.09312723577022552,-0.2913820147514343,0.003
53444,18204,455.91,1364.1765270200003,2,182,1066860,-281.1239013671875,1.952270156145096,0.08674394339323044,0.44229477643966675,0.003
54444,18499,464.69,1393.1705586300002,2,183,1086860,-281.28656005859375,1.9356957912445067,0.08472466468811035,1.0486326217651367,0.003
55444,18798,473.84,1422.57206049,2,184,1106860,-276.8429260253906,3.086902004480362,0.08795322477817535,0.08366171270608902,0.003
56444,19094,482.8,1451.7579807700001,2,185,1126860,-268.9363098144531,2.3100770831108095,0.09086758643388748,-0.16618315875530243,0.003
57444,19390,491.97,1482.0504213699999,2,186,1146860,-279.9070129394531,2.746842861175537,0.08701919764280319,0.1422593593597412,0.003
58444,19688,500.35,1510.57046394,2,187,1166860,-275.6913146972656,2.0615603029727936,0.08132875710725784,-0.062145695090293884,0.003
59444,19981,509.21,1540.30841877,2,188,1186860,-282.2443542480469,2.886950170993805,0.08648045361042023,-0.34824153780937195,0.003
60444,20271,515.98,1565.42657951,2,189,1206860,-283.1121826171875,2.3322784304618835,0.07923473417758942,-0.07267430424690247,0.003
