time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate
29,81.55172413793103,8,85.85694210344828,264,2365,0.2081298530101776,-0.6890825629234314,45280,10.113072419166565,-127.83011627197266,0.03
30,82.96666666666667,8,91.15995436666667,278,2489,0.20131176710128784,-0.3386327624320984,47760,19.216647100448608,-135.89572143554688,0.03
31,84.64516129032258,8,96.78831016129033,294,2624,0.15790291130542755,-0.03785145282745361,50460,8.116304802894593,-138.92352294921875,0.03
32,90.15625,8,106.44299278124998,324,2885,0.11506517976522446,-0.05553010106086731,55680,7.673703849315643,-149.34585571289062,0.03
33,91.63636363636364,8,111.36211054545453,340,3024,0.12288760393857956,-1.0620309114456177,58460,6.428678905963897,-151.346923828125,0.03
34,93.32352941176471,8,116.34344547058822,357,3173,0.10294407606124878,0.9082838296890259,61440,10.680762422084808,-146.4100799560547,0.03
35,94.94285714285714,8,120.98889585714284,375,3323,0.10336579382419586,0.24990293383598328,64440,6.559608292579651,-153.7541961669922,0.03
36,96.13888888888889,8,124.47178436111108,392,3461,0.11092164367437363,1.2597041130065918,67200,9.443681478500366,-152.4178924560547,0.03
37,97.45945945945945,8,128.53210937837835,409,3606,0.10242227464914322,2.308758020401001,70100,16.283977127075197,-155.80328369140625,0.03
38,98.6842105263158,8,132.14509663157892,425,3750,0.12815244495868683,-0.6398396492004395,72980,8.959882521629334,-157.91000366210938,0.03
39,98.92307692307692,8,134.46067248717947,438,3858,0.11565255373716354,1.7514636516571045,75140,9.90520474910736,-153.40493774414062,0.03
40,100.125,8,138.04358925,455,4005,0.13334134221076965,0.3970320522785187,78080,11.102463150024414,-149.22805786132812,0.03
41,101.41463414634147,8,142.12868002439023,472,4158,0.14583933353424072,-2.515597343444824,81140,8.956370377540589,-141.34996032714844,0.03
42,102.52380952380952,8,145.37695957142856,489,4306,0.12704171240329742,-0.6834397315979004,84100,8.79295392036438,-140.22998046875,0.03
43,103.72093023255815,8,148.3203920232558,506,4460,0.1488375961780548,-1.107418417930603,87180,10.126266932487487,-133.21011352539062,0.03
44,106.72727272727273,8,154.51815443181817,534,4696,0.08367504924535751,0.33418840169906616,91900,8.387375736236573,-137.47398376464844,0.03
45,109.86666666666666,8,159.69320817777776,562,4944,0.06093143671751022,0.8282076716423035,96860,7.179107534885406,-144.2354736328125,0.03
46,111.1086956521739,8,163.50794728260868,581,5111,0.056032225489616394,-0.12091055512428284,100200,4.462242436408997,-144.52059936523438,0.03
47,111.8936170212766,8,166.10381189361703,598,5259,0.08071353286504745,0.8437273502349854,103160,8.568980646133422,-141.89633178710938,0.03
48,112.66666666666667,8,168.33918306249998,615,5408,0.09581012278795242,-0.033140286803245544,106140,7.470825028419495,-134.2755584716797,0.03
49,113.04081632653062,8,169.4042386122449,631,5539,0.10673503577709198,1.2892787456512451,108760,8.71966187953949,-136.19085693359375,0.03
