time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
4017,50,4,816,80.34,99.79936486000001,78320,0.003,293.36987686157227,3.7072173953056335,-0.040849368926137684,-449.2906768798828
4063,51,4,826,79.66666666666667,98.13738256862746,79240,0.003,315.6708297729492,4.2367501020431515,-0.26362433433532717,-473.2104019165039
4106,52,4,835,78.96153846153847,96.59897796153847,80100,0.003,326.5378273010254,4.516475129127502,0.049942019395530224,-498.43839874267576
4153,53,4,845,78.35849056603773,95.07139769811322,81040,0.003,371.02355194091797,4.6013270854949955,0.14184517553076148,-515.3040664672851
4199,54,4,854,77.75925925925925,93.70717575925927,81960,0.003,375.8851547241211,4.841262912750244,0.13536998368799685,-539.3278656005859
4477,55,4,912,81.4,97.07513983636365,87520,0.003,481.1172790527344,5.015602540969849,0.000392044335603714,-671.5198120117187
4642,56,4,946,82.89285714285714,101.09905146428571,90820,0.003,719.021353149414,7.701840138435363,-0.06346173286437988,-853.7562255859375
4752,57,4,969,83.36842105263158,103.46746521052631,93020,0.003,700.7542572021484,6.660807704925537,0.052083682268857956,-911.392626953125
4802,58,4,979,82.79310344827586,103.12680877586206,94020,0.003,731.3353637695312,6.437700986862183,-0.02863716520369053,-920.6544738769531
4954,59,4,1011,83.96610169491525,106.44019822033897,97060,0.003,1142.2212280273438,8.990616464614869,0.10071697309613228,-1046.9629760742187
5148,60,4,1051,85.8,110.98756473333333,100940,0.003,2080.705255126953,12.751925849914551,0.2368121363222599,-1409.5343688964845
5164,61,4,1054,84.65573770491804,109.37332827868852,101260,0.003,2267.6021118164062,12.314558792114259,-0.07605818174779415,-1454.8913635253907
5189,62,4,1059,83.69354838709677,107.8692809032258,101760,0.003,2796.5512084960938,13.205689430236816,-0.034784349612891674,-1522.8523254394531
5209,63,4,1064,82.68253968253968,106.34149349206349,102160,0.003,3220.200402832031,14.015730237960815,-0.017768478393554686,-1601.2525756835937
5410,64,4,1105,84.53125,110.32937396875,106180,0.003,4405.788708496094,17.439627361297607,0.4191966615617275,-2001.1364685058593
5701,65,4,1165,87.70769230769231,115.54107635384617,112000,0.003,3787.0207763671874,16.701053428649903,-0.0014802932739257813,-2335.0070678710936
5739,66,4,1173,86.95454545454545,114.46053387878788,112760,0.003,3667.7484130859375,15.553426504135132,0.029164663329720498,-2332.5578125
5904,67,4,1207,88.11940298507463,116.21483504477612,116060,0.003,4456.511682128907,15.353029823303222,-0.07047417312860489,-2285.909387207031
6357,68,4,1299,93.48529411764706,121.62048670588234,125120,0.003,2591.174206542969,14.373276519775391,0.14229012317955494,-1952.6199523925782
6510,69,4,1330,94.34782608695652,124.18611634782607,128180,0.003,2245.343194580078,10.387136268615723,-0.1897748626768589,-1850.0108825683594
6677,70,4,1365,95.38571428571429,126.88580824285712,131520,0.003,2355.9971618652344,10.710306215286256,-0.11966386325657367,-1754.9150024414062
6759,71,4,1382,95.19718309859155,126.74869405633801,133160,0.003,2973.4397705078127,11.573861217498779,-0.0005198661237955093,-1748.5412231445312
6879,72,4,1406,95.54166666666667,127.01543815277779,135560,0.003,3270.5427001953126,12.760897445678712,0.09213159773498773,-1796.9218627929688
7254,73,4,1483,99.36986301369863,131.79554053424658,143060,0.003,3126.9415893554688,12.913762092590332,0.02926693707704544,-2021.6349060058594
7349,74,4,1503,99.3108108108108,132.84719422972975,144960,0.003,3942.1547607421876,11.419449996948241,-0.2320889424532652,-1996.9011108398438
7387,75,4,1510,98.49333333333334,131.8247603466667,145720,0.003,4107.937963867187,12.608886623382569,-0.1172715350985527,-2001.5347839355468
7479,76,4,1529,98.40789473684211,132.787968,147560,0.003,2967.667919921875,13.153148317337036,0.04057251773774624,-2051.613671875
7571,77,4,1548,98.32467532467533,133.68116541558442,149400,0.003,3255.136328125,11.390973997116088,-0.1386751625686884,-2028.6589965820312
7613,78,4,1557,97.6025641025641,132.77947202564104,150240,0.003,4096.941052246094,10.876970386505127,0.002812764793634415,-2034.65126953125
7720,79,4,1579,97.72151898734177,134.01030816455696,152380,0.003,5788.417578125,13.150985383987427,0.11329544335603714,-2112.5446960449217
7763,80,4,1587,97.0375,132.81603435,153240,0.003,4999.079614257813,14.05912127494812,0.29034880101680755,-2155.825305175781
7799,81,4,1595,96.28395061728395,131.64958341975307,153960,0.003,6209.130834960937,15.817571640014648,0.11755034942179918,-2240.599462890625
7816,82,4,1598,95.3170731707317,130.2172547682927,154300,0.003,8610.337573242188,16.04898109436035,-0.1787088392302394,-2285.8512939453126
8374,83,4,1713,100.89156626506023,136.91891356626505,165460,0.003,6967.08818359375,18.774557018280028,-0.18841879963874816,-3253.28330078125
8540,84,4,1747,101.66666666666667,138.49354045238096,168780,0.003,8539.094165039063,18.78617353439331,-0.2774435497820377,-3286.7500122070314
8659,85,4,1771,101.87058823529412,139.07725804705882,171160,0.003,11006.252587890625,19.852553272247313,0.16468988563865422,-3482.6138916015625
8783,86,4,1797,102.12790697674419,140.1016768255814,173640,0.003,9861.7125,22.806024742126464,-0.06836434826254845,-3632.964318847656
8816,87,4,1804,101.33333333333333,139.16782272413792,174300,0.003,10235.77646484375,22.311326503753662,-0.12245082184672355,-3693.329309082031
