time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/ent_coef
9,3548,27,131.40740740740742,164.99610381481483,392,-230.10543823242188,2.5301935255527495,0.003,0.4373553693294525,68940,0.14543507993221283
9,3743,28,133.67857142857142,170.82574617857145,414,-232.79656982421875,2.3140710949897767,0.003,0.17839956283569336,72840,0.14891357719898224
9,3913,29,134.93103448275863,177.2937025862069,434,-235.79061889648438,5.070383006334305,0.003,0.5545656681060791,76240,0.15168452262878418
9,4063,30,135.43333333333334,181.6104735,451,-234.34771728515625,2.422020119428635,0.003,0.25951606035232544,79240,0.1518077254295349
9,4333,31,139.7741935483871,188.80991970967742,481,-235.32620239257812,5.993155920505524,0.003,0.029334481805562973,84640,0.1520707756280899
9,4621,32,144.40625,198.11608778125,513,-235.46200561523438,3.637698805332184,0.003,0.6204107403755188,90400,0.14866085350513458
8,4770,33,144.54545454545453,199.74721633333334,530,-237.893798828125,2.52391517162323,0.003,0.3961447477340698,93380,0.14982031285762787
9,4904,34,144.23529411764707,200.7813847647059,544,-236.9152069091797,2.248675984144211,0.003,-0.13327956199645996,96060,0.1416623294353485
8,5094,35,145.54285714285714,205.19151511428572,566,-231.73764038085938,1.9166529536247254,0.003,0.44902658462524414,99860,0.1301736980676651
8,5382,36,149.5,213.24677291666666,599,-229.1231231689453,4.88004240989685,0.003,0.3861010670661926,105620,0.12627802789211273
8,5561,37,150.2972972972973,216.89322089189187,619,-230.23464965820312,4.324511957168579,0.003,-1.2917535305023193,109200,0.12505657970905304
8,5719,38,150.5,218.16998268421054,638,-229.15304565429688,2.776656699180603,0.003,0.8150444030761719,112360,0.12485289573669434
8,5906,39,151.43589743589743,222.035573,659,-224.1474151611328,3.478785926103592,0.003,0.6840403079986572,116100,0.13266293704509735
8,6146,40,153.65,224.72021312500001,687,-221.337646484375,2.347748029232025,0.003,0.4458538889884949,120900,0.12904562056064606
8,6440,41,157.0731707317073,228.36560529268291,720,-220.60775756835938,2.6575194358825684,0.003,-0.747611403465271,126780,0.13286533951759338
8,6616,42,157.52380952380952,230.3824971190476,740,-218.4322509765625,5.409626078605652,0.003,0.1927027702331543,130300,0.1326613873243332
8,6840,43,159.06976744186048,234.71702965116276,766,-216.23817443847656,2.784055143594742,0.003,-0.5727563500404358,134780,0.11488735675811768
8,6964,44,158.27272727272728,233.91311972727271,780,-217.01055908203125,1.7733272910118103,0.003,1.565194845199585,137260,0.11378048360347748
8,7279,45,161.75555555555556,236.7416162222222,815,-212.13446044921875,1.943151706457138,0.003,0.6528936624526978,143560,0.1031460091471672
8,7473,46,162.45652173913044,239.16313913043479,837,-210.16998291015625,1.8761816501617432,0.003,0.2480735182762146,147440,0.11759955435991287
8,7789,47,165.72340425531914,244.11120608510637,874,-208.22442626953125,4.838145446777344,0.003,0.2906336188316345,153760,0.12281575798988342
8,7905,48,164.6875,243.25271345833332,887,-207.8233642578125,4.869987523555755,0.003,-0.316335529088974,156080,0.12209765613079071
8,8194,49,167.22448979591837,247.95152342857142,919,-209.95388793945312,2.3640342712402345,0.003,-0.3929414749145508,161860,0.12458764761686325
8,8351,50,167.02,249.83166791999997,937,-211.4395751953125,2.53535081744194,0.003,1.8096590042114258,165000,0.12736299633979797
8,8691,51,170.41176470588235,254.42359427450975,974,-214.9969482421875,2.1644575715065004,0.003,-0.14797303080558777,171800,0.1255030632019043
8,8855,52,170.28846153846155,256.31645669230767,992,-212.92709350585938,4.311314451694488,0.003,0.9715837240219116,175080,0.13206785917282104
8,9068,53,171.0943396226415,259.1675890943396,1016,-215.334716796875,2.9116042017936707,0.003,-0.7542145252227783,179340,0.13227464258670807
8,9296,54,172.14814814814815,261.4252525925926,1041,-214.2558135986328,12.163566482067107,0.003,0.4699976146221161,183900,0.12827974557876587
8,9456,55,171.92727272727274,262.39207116363633,1058,-214.9251708984375,2.7587428212165834,0.003,-0.5782551765441895,187100,0.11858702450990677
8,9609,56,171.58928571428572,262.50198582142855,1075,-215.26690673828125,2.550218713283539,0.003,0.002912178635597229,190160,0.11255747079849243
8,9791,57,171.7719298245614,264.79569735087716,1094,-212.56906127929688,4.194734823703766,0.003,0.15161819756031036,193800,0.11414922028779984
8,9957,58,171.67241379310346,266.3087087413793,1113,-216.61529541015625,2.555665796995163,0.003,0.1377916783094406,197120,0.10637746006250381
8,10174,59,172.4406779661017,268.3277222033898,1137,-211.20530700683594,2.1257209181785583,0.003,0.5194598436355591,201460,0.11135559529066086
8,10301,60,171.68333333333334,267.9889546,1151,-214.79571533203125,5.213441246747971,0.003,0.5959049463272095,204000,0.1097399890422821
8,10528,61,172.59016393442624,270.48920036065573,1176,-213.85177612304688,3.0632533729076385,0.003,0.33378326892852783,208540,0.11328979581594467
8,10672,62,172.1290322580645,269.6870292096774,1192,-214.11758422851562,3.246234428882599,0.003,-1.140197515487671,211420,0.11449545621871948
8,10829,63,171.88888888888889,270.7507312380952,1209,-212.54429626464844,2.5338032066822054,0.003,-0.49083566665649414,214560,0.11861561238765717
8,11031,64,172.359375,273.0026115,1231,-215.5829315185547,3.8061526298522947,0.003,0.23321229219436646,218600,0.12090953439474106
8,11214,65,172.52307692307693,274.63952296923077,1251,-214.75543212890625,2.5942171931266786,0.003,0.1460835039615631,222260,0.12030565738677979
8,11341,66,171.83333333333334,273.41920724242425,1265,-214.2667999267578,3.518410336971283,0.003,1.3613169193267822,224800,0.11521383374929428
