time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss
6338,44,144.04545454545453,2396,205.35606036363635,2,0.14539557695388794,11.9798433303833,124740,-0.6105033755302429,0.003,-122.6845932006836
6450,45,143.33333333333334,2438,206.38345015555552,2,0.13017268478870392,9.708448696136475,126980,-0.18815547227859497,0.003,-121.67750549316406
6577,46,142.97826086956522,2486,207.36576323913042,2,0.1289624571800232,7.50596604347229,129520,0.3401496410369873,0.003,-121.57289123535156
7577,47,161.2127659574468,2869,223.9724185744681,2,0.06337239593267441,4.435259234905243,149520,0.3512010872364044,0.003,-122.49122619628906
8577,48,178.6875,3250,242.84187156249996,2,0.05722685158252716,5.23139078617096,169520,0.6538170576095581,0.003,-113.18401336669922
8724,49,178.0408163265306,3306,243.99439334693875,2,0.0720159113407135,3.4640661239624024,172460,-0.7904899716377258,0.003,-110.88473510742188
8851,50,177.02,3353,244.62510861999996,2,0.06657204777002335,2.79993736743927,175000,-0.7355663776397705,0.003,-115.61274719238281
8979,51,176.05882352941177,3403,245.38829766666663,2,0.06643792241811752,3.1322466015815733,177560,-0.7074136734008789,0.003,-113.38900756835938
9120,52,175.3846153846154,3456,246.39396549999995,2,0.05878880247473717,2.470274567604065,180380,-0.15304246544837952,0.003,-112.25628662109375
9245,53,174.43396226415095,3503,246.65260283018864,2,0.06063292548060417,4.285181486606598,182880,0.6119429469108582,0.003,-116.96817016601562
9375,54,173.61111111111111,3551,247.210685074074,2,0.06337099522352219,2.697968566417694,185480,0.001654297113418579,0.003,-112.36524200439453
9511,55,172.92727272727274,3602,248.04008299999992,2,0.05809061974287033,2.9538095355033875,188200,-0.34778544306755066,0.003,-112.6365737915039
9643,56,172.19642857142858,3653,248.53719885714284,2,0.059635844081640244,2.9722806930541994,190840,-0.7004594802856445,0.003,-113.87824249267578
9779,57,171.56140350877192,3704,249.25649373684212,2,0.06142602115869522,3.262104797363281,193560,-0.2329854667186737,0.003,-112.46072387695312
9915,58,170.94827586206895,3755,250.07460844827585,2,0.06368875503540039,2.903641772270203,196280,0.006214961409568787,0.003,-114.34495544433594
10057,59,170.45762711864407,3810,250.98575298305082,2,0.06315088272094727,2.636590611934662,199120,0.5650007724761963,0.003,-118.26348876953125
10189,60,169.81666666666666,3861,251.80043821666666,2,0.05998782813549042,3.991923427581787,201760,0.20814190804958344,0.003,-116.60244750976562
10325,61,169.2622950819672,3913,252.73316537704915,2,0.062449995428323746,4.971631371974945,204480,-0.009088054299354553,0.003,-116.23273468017578
10471,62,168.88709677419354,3968,253.73183462903225,2,0.0738166943192482,7.8433786034584045,207400,0.08429992198944092,0.003,-113.67542266845703
10612,63,168.44444444444446,4023,254.70996825396824,2,0.0712093710899353,5.203336751461029,210220,0.05726005136966705,0.003,-114.04887390136719
10657,64,166.515625,4040,251.773382859375,2,0.06741651147603989,3.656060481071472,211120,-0.4687913656234741,0.003,-119.3341064453125
10801,65,166.16923076923078,4094,252.8554368,2,0.058662302792072296,3.8548591136932373,214000,0.2242225706577301,0.003,-114.84033203125
10936,66,165.6969696969697,4146,253.5993157727273,2,0.05291221663355827,3.050447690486908,216700,0.1784439980983734,0.003,-115.56001281738281
11073,67,165.26865671641792,4198,254.5356892537314,2,0.05238368362188339,2.766476583480835,219440,-0.1356448233127594,0.003,-115.5914077758789
11215,68,164.9264705882353,4251,255.50833463235298,2,0.060015060007572174,3.645030879974365,222280,0.04874401539564133,0.003,-114.40892028808594
11352,69,164.52173913043478,4304,256.2850771594203,2,0.06237013638019562,3.367467588186264,225020,0.017823010683059692,0.003,-115.293212890625
11489,70,164.12857142857143,4356,257.2514973285715,2,0.056083425879478455,3.310988748073578,227760,-0.3714202046394348,0.003,-121.82572937011719
11617,71,163.61971830985917,4406,257.7404680140845,2,0.05572880804538727,2.9383425951004027,230320,-0.1296769231557846,0.003,-117.68982696533203
11757,72,163.29166666666666,4460,258.8127157222222,2,0.05645231902599335,3.4100117683410645,233120,0.17835962772369385,0.003,-122.75143432617188
11893,73,162.91780821917808,4511,259.7682260958904,2,0.05730463191866875,2.779412639141083,235840,0.4240528643131256,0.003,-123.150390625
12034,74,162.6216216216216,4564,260.6881349324324,2,0.059822775423526764,2.7510709047317503,238660,-0.28364044427871704,0.003,-122.34764099121094
12178,75,162.37333333333333,4617,261.66533411999995,2,0.05511148273944855,2.540028178691864,241540,0.07574298977851868,0.003,-123.18385314941406
12322,76,162.1315789473684,4671,262.778902118421,2,0.05182609334588051,2.7279287934303285,244420,-0.44780877232551575,0.003,-125.46613311767578
12475,77,162.01298701298703,4728,264.03450785714284,2,0.055218763649463654,2.3634073376655578,247480,-0.41686350107192993,0.003,-122.22625732421875
12635,78,161.98717948717947,4789,265.677456576923,2,0.05566775053739548,2.1938674569129946,250680,0.4953962564468384,0.003,-123.35641479492188
12797,79,161.9873417721519,4851,267.4030750886075,2,0.05675635114312172,2.384818035364151,253920,0.00030753016471862793,0.003,-126.01132202148438
12947,80,161.8375,4908,268.9903675,2,0.0563034825026989,2.839142453670502,256920,-0.24295805394649506,0.003,-123.09925842285156
13099,81,161.71604938271605,4967,270.5991907777778,2,0.06180635094642639,4.2428938210010525,259960,0.4654618203639984,0.003,-126.74147033691406
13223,82,161.2560975609756,5015,270.89681870731704,2,0.0648348331451416,2.6665727317333223,262440,-0.5433109998703003,0.003,-128.19773864746094
13336,83,160.67469879518072,5058,270.70375924096385,2,0.06445930898189545,3.1693957448005676,264700,0.04151558876037598,0.003,-126.03233337402344
13491,84,160.60714285714286,5117,272.1246586190476,2,0.06679387390613556,6.1261971354484555,267800,-0.6428145170211792,0.003,-129.40243530273438
