time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss
17053,82,1885,207.96341463414635,309.56500348780486,9,0.05587491765618324,-124.92989349365234,0.03,339040,4.704582321643829,-2.361973762512207
17782,83,1966,214.24096385542168,317.3854460240964,9,0.057344336062669754,-131.13360595703125,0.03,353620,3.881143569946289,-0.3095249831676483
17973,84,1986,213.96428571428572,317.75974283333335,9,0.05763263255357742,-129.3907012939453,0.03,357440,3.8243237018585203,2.345353364944458
18152,85,2006,213.5529411764706,317.8677131294118,9,0.057838909327983856,-130.84414672851562,0.03,361020,4.043147897720337,-0.5932585000991821
18346,86,2027,213.32558139534885,318.73805274418606,9,0.04886899143457413,-124.287353515625,0.03,364900,4.3218350291252134,1.2853834629058838
18514,87,2046,212.80459770114942,318.31334535632186,9,0.056157369166612625,-130.35812377929688,0.03,368260,4.836311340332031,-0.16302557289600372
18694,88,2067,212.4318181818182,318.26973445454547,9,0.057264696806669235,-125.88932800292969,0.03,371860,4.433070647716522,-0.46465975046157837
18906,89,2089,212.42696629213484,319.6134386179775,9,0.06630665808916092,-130.36766052246094,0.03,376100,3.9338048815727236,-0.9984031915664673
19365,90,2140,215.16666666666666,323.89771556666665,9,0.04909244924783707,-131.26687622070312,0.03,385280,3.519707214832306,3.132577419281006
19602,91,2166,215.4065934065934,324.8655689450549,9,0.04336658492684364,-125.38055419921875,0.03,390020,3.3764091968536376,3.8784613609313965
19667,92,2173,213.77173913043478,322.01622760869566,9,0.06430429220199585,-132.69554138183594,0.03,391320,3.393904387950897,-0.8753770589828491
20480,93,2263,220.21505376344086,331.9304388172043,9,0.038136955350637436,-127.28301239013672,0.03,407580,4.886099624633789,4.237523078918457
21134,94,2335,224.82978723404256,338.5650954255319,9,0.0662139430642128,-131.05760192871094,0.03,420660,4.576786661148072,-3.497912883758545
21650,95,2393,227.89473684210526,343.5956032947368,9,0.06056241691112518,-129.35415649414062,0.03,430980,4.4059780716896055,2.245966672897339
21875,96,2417,227.86458333333334,344.44606898958335,9,0.05088165029883385,-129.13467407226562,0.03,435480,4.517042481899262,0.21060773730278015
22204,97,2454,228.90721649484536,346.8629977525773,9,0.09288768470287323,-136.19972229003906,0.03,442060,4.768594551086426,-2.87772274017334
22491,98,2485,229.5,348.07410083673466,9,0.0783601626753807,-135.3648681640625,0.03,447800,5.299819564819336,-3.3642537593841553
22712,99,2510,229.41414141414143,348.6863294747475,9,0.048949919641017914,-135.96034240722656,0.03,452220,3.9365960717201234,0.3976254463195801
22901,100,2531,229.01,348.86405183000005,9,0.06054210662841797,-132.22930908203125,0.03,456000,4.584483826160431,0.7599901556968689
23152,101,2559,231.41,353.92844864,9,0.05140712484717369,-132.13148498535156,0.03,461020,4.936998510360718,0.0778103768825531
23429,102,2590,234.02,359.49655833,9,0.06775490194559097,-131.8921661376953,0.03,466560,5.176440787315369,-0.4134567975997925
23742,103,2625,236.85,365.84544056,9,0.06555835157632828,-131.824462890625,0.03,472820,6.019740891456604,1.0133081674575806
23987,104,2652,239.09,371.69243792000003,9,0.0547616109251976,-128.7547149658203,0.03,477720,5.724006772041321,2.8283610343933105
24177,105,2673,240.8,375.4611545,9,0.055391550064086914,-130.80014038085938,0.03,481520,5.471086740493774,-2.4515275955200195
24357,106,2692,242.47,378.73880349,9,0.05924135446548462,-127.3045425415039,0.03,485120,5.060396766662597,1.7024075984954834
24567,107,2714,244.42,382.72804024000004,9,0.05669897422194481,-128.1396026611328,0.03,489320,5.434718859195709,2.747500419616699
24729,108,2732,245.96,386.23696825999997,9,0.045912113040685654,-122.35918426513672,0.03,492560,5.920580744743347,3.683452844619751
24912,109,2752,247.71,390.08919381,9,0.05145289748907089,-122.96160888671875,0.03,496220,5.046522760391236,0.9207302331924438
25144,110,2777,249.96,395.18595336000004,9,0.07432369887828827,-121.67446899414062,0.03,500860,5.128469169139862,-0.20228245854377747
25343,111,2799,251.88,399.26464240000007,9,0.052823469042778015,-123.54898071289062,0.03,504840,4.993583178520202,-0.03197121620178223
25530,112,2820,253.67,402.82486076000004,9,0.07611388713121414,-127.89154052734375,0.03,508580,4.620013880729675,-2.019268751144409
25746,113,2844,255.75,406.90867127999996,9,0.037081487476825714,-125.42981719970703,0.03,512900,4.442228984832764,2.5718064308166504
26045,114,2877,258.67,412.69636428999996,9,0.06467655301094055,-123.79664611816406,0.03,518880,4.439194929599762,-1.4557620286941528
26298,115,2904,261.13,417.78921872,9,0.07159125059843063,-121.13809204101562,0.03,523940,4.365226042270661,-4.2124528884887695
26619,116,2939,264.27,424.93066372,9,0.058076176792383194,-119.87371826171875,0.03,530360,5.856394028663635,-1.5616083145141602
26805,117,2959,266.04,428.57859345,9,0.06258195638656616,-121.99950408935547,0.03,534080,4.764724922180176,-0.7734338641166687
27046,118,2985,268.36,434.13495533,9,0.048250529915094376,-120.23048400878906,0.03,538900,5.0167316198349,-0.9894887804985046
27244,119,3006,270.18,438.41081601000013,9,0.05620809271931648,-119.15251159667969,0.03,542860,4.614152610301971,-0.932664155960083
27417,120,3025,271.65,442.24559410000006,9,0.03858710080385208,-121.16302490234375,0.03,546320,4.421255338191986,2.110318422317505
27619,121,3047,272.74,446.83985171,9,0.04597990959882736,-125.34536743164062,0.03,550360,5.127079761028289,-0.23043882846832275
27825,122,3070,274.05,451.42889227,9,0.050295911729335785,-122.15576171875,0.03,554480,4.321969079971313,2.6117539405822754
28035,123,3093,274.09,452.56765333,9,0.03949584811925888,-122.15754699707031,0.03,558680,4.763066756725311,1.2715082168579102
28742,124,3171,278.77,465.79712404,9,0.08719363808631897,-128.72116088867188,0.03,572820,6.393056058883667,-2.222242593765259
28973,125,3197,279.05,470.37373499,9,0.0846027284860611,-130.25918579101562,0.03,577440,6.703175020217896,-1.1447350978851318
29200,126,3222,279.04,471.7450966400001,9,0.09907672554254532,-128.2427978515625,0.03,581980,7.869435334205628,-2.4061503410339355
29473,127,3252,273.31,470.69963240000004,9,0.08490736782550812,-132.2957763671875,0.03,587440,7.079748511314392,-1.138906717300415
30186,128,3330,273.07,477.55565956000004,9,0.08555969595909119,-129.9313201904297,0.03,601700,8.115480661392212,-2.3010129928588867
31186,129,3441,281.41,496.88932479000005,9,0.07952366024255753,-144.9552001953125,0.03,621700,9.126568579673767,-0.07019400596618652
31439,130,3468,282.26,499.5624248099999,9,0.0964687168598175,-143.48843383789062,0.03,626760,10.51813621520996,-0.8673255443572998
31772,131,3504,283.82,504.8504838399999,9,0.11227089911699295,-146.22238159179688,0.03,633420,11.502051448822021,-0.636344313621521
32772,132,3615,292.34,523.90456936,9,0.11848847568035126,-165.54525756835938,0.03,653420,13.88619499206543,-0.983412504196167
33177,133,3660,294.67,530.6279883000001,9,0.11017850786447525,-171.40054321289062,0.03,661520,13.218439102172852,-3.332737922668457
34177,134,3768,302.48,547.4000578,9,0.1183624267578125,-174.03302001953125,0.03,681520,16.927830696105957,-1.3249330520629883
34402,135,3793,299.28,546.53772928,9,0.13952448964118958,-173.35751342773438,0.03,686020,17.795750284194945,-0.17247548699378967
35402,136,3902,306.98,565.0779481400001,9,0.09960866719484329,-171.62295532226562,0.03,706020,15.387380599975586,1.1383346319198608
35716,137,3937,307.24,570.34553128,9,0.10108660906553268,-176.54486083984375,0.03,712300,16.53691473007202,-0.4256714880466461
36052,138,3976,308.74,575.64146944,9,0.10755062848329544,-180.02313232421875,0.03,719020,12.95339879989624,0.2066573202610016
36383,139,4013,310.24,580.5271281900001,9,0.08695220202207565,-184.2664794921875,0.03,725640,17.71990466117859,0.459536075592041
37383,140,4123,317.68,598.65990446,9,0.08020003885030746,-174.57566833496094,0.03,745640,12.75726385116577,-1.6138861179351807
38383,141,4236,325.79,616.44385922,9,0.08298788219690323,-175.9136962890625,0.03,765640,11.850980043411255,0.7973727583885193
38904,142,4294,329.32,626.1258095000001,9,0.10245102643966675,-175.9384765625,0.03,776060,11.633310222625733,-2.94156813621521
39619,143,4374,334.84,641.23638542,9,0.08744332194328308,-179.43785095214844,0.03,790360,11.796958303451538,1.2335060834884644
40619,144,4484,342.9,658.9569343500001,9,0.08919039368629456,-170.19973754882812,0.03,810360,12.254263114929199,-1.8105883598327637
41619,145,4597,350.79,677.34893429,9,0.07772274315357208,-171.88919067382812,0.03,830360,10.708039140701294,-2.3684802055358887
42135,146,4654,353.44,685.5360263199999,9,0.0680055022239685,-180.35089111328125,0.03,840680,11.687372827529908,3.431809902191162
43135,147,4765,361.61,703.9208549900001,9,0.1035713329911232,-183.59446716308594,0.03,860680,12.377336883544922,-0.4784604609012604
44043,148,4865,363.28,714.49450467,9,0.10917966067790985,-189.8932647705078,0.03,878840,14.283656787872314,-1.362983226776123
44895,149,4958,370.14,730.5497048599999,9,0.07881664484739304,-183.77420043945312,0.03,895880,13.949574708938599,3.9037022590637207
45895,150,5069,378.62,749.6304970700002,9,0.10627028346061707,-185.5999298095703,0.03,915880,14.4319354057312,-1.4693379402160645
46895,151,5178,386.44,768.57868568,9,0.10960198193788528,-186.7496337890625,0.03,935880,16.073698854446413,-1.562059998512268
47895,152,5288,394.98,787.4945988000001,9,0.07010826468467712,-182.1300506591797,0.03,955880,12.700632810592651,0.39403364062309265
48818,153,5391,401.66,805.7501787499999,9,0.07355058193206787,-191.15802001953125,0.03,974340,12.873799514770507,-0.9961999654769897
49818,154,5502,409.03,825.4724018100002,9,0.12952792644500732,-192.5592041015625,0.03,994340,16.175534629821776,-1.9966062307357788
50818,155,5611,416.99,843.7567019599999,9,0.08622639626264572,-197.6002197265625,0.03,1014340,14.22883973121643,0.19238285720348358
51818,156,5720,424.94,862.0294575700001,9,0.06800559908151627,-198.8239288330078,0.03,1034340,12.786536026000977,0.1862669587135315
52818,157,5831,432.13,881.3055988100001,9,0.07134328037500381,-196.22088623046875,0.03,1054340,11.283958268165588,-1.0532622337341309
53818,158,5944,438.71,899.1010247099999,9,0.07981770485639572,-200.94248962402344,0.03,1074340,11.954465055465699,0.5137283802032471
54818,159,6052,446.79,920.016314,9,0.07723367214202881,-203.3990478515625,0.03,1094340,12.985445928573608,-1.2517304420471191
55818,160,6163,454.76,941.00970936,9,0.12203441560268402,-202.79254150390625,0.03,1114340,17.648918867111206,-3.763277530670166
56818,161,6273,462.43,962.47345592,9,0.07313726842403412,-202.6092529296875,0.03,1134340,15.368244314193726,-1.427112340927124
57818,162,6385,470.78,984.16511975,9,0.10147308558225632,-209.27203369140625,0.03,1154340,12.951169729232788,-0.962308406829834
58818,163,6495,478.05,1003.8738550900001,9,0.07449676096439362,-209.78465270996094,0.03,1174340,13.146990060806274,1.6798839569091797
59818,164,6606,486.02,1026.59630286,9,0.07606934756040573,-220.46456909179688,0.03,1194340,12.763388967514038,1.7870888710021973
60818,165,6716,493.41,1046.763773,9,0.07849900424480438,-215.56326293945312,0.03,1214340,12.969717121124267,1.4288067817687988
61818,166,6830,500.61,1066.9869778999998,9,0.07739856094121933,-208.77671813964844,0.03,1234340,13.648504590988159,1.7384650707244873
62818,167,6942,504.78,1084.04419698,9,0.0790708139538765,-216.05027770996094,0.03,1254340,12.463710260391235,0.8647047281265259
63818,168,7052,512.69,1105.72278699,9,0.08859607577323914,-211.50970458984375,0.03,1274340,12.849335479736329,-0.5211038589477539
64818,169,7162,520.83,1126.9517461100002,9,0.07373598963022232,-209.022216796875,0.03,1294340,12.455222463607788,0.9863193035125732
65818,170,7272,528.82,1150.11359106,9,0.07324589043855667,-208.79762268066406,0.03,1314340,18.79606428146362,2.7621469497680664
66818,171,7382,536.49,1173.16227437,9,0.09245148301124573,-223.60470581054688,0.03,1334340,15.422442483901978,-1.3501386642456055
67818,172,7492,544.29,1195.9649763200002,9,0.10814175754785538,-214.83676147460938,0.03,1354340,12.48128046989441,-1.2312393188476562
68818,173,7603,549.3,1216.7280703100002,9,0.0787598043680191,-215.88719177246094,0.03,1374340,13.119097900390624,-1.4980828762054443
