time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
5,22444,167.53816336999998,4138,198.47,140,0.4932838462293148,0.04179629348218441,0.03,10.180022597312927,446860,-42.291508483886716
5,22644,167.94112543999995,4178,199.14,141,5.296052312850952,0.022609822731465102,0.03,6.250606143474579,450860,-42.1213659286499
5,22886,169.28652747999996,4227,200.77,142,-3.034010922908783,0.04677377846091986,0.03,9.499701750278472,455700,-43.07954978942871
5,23099,170.23116998999996,4265,202.47,143,2.807405799627304,0.015696982434019447,0.03,8.099183654785156,459960,-42.95671215057373
5,23317,170.88828059,4314,203.12,144,-1.5256554633378983,0.028488011658191682,0.03,7.59493191242218,464320,-42.604437828063965
5,23508,171.58015541999998,4358,203.67,145,-4.179383885860443,0.02944767652079463,0.03,7.914951431751251,468140,-42.45022487640381
5,23693,171.10640633,4391,204.8,146,1.368331304565072,0.020813554432243107,0.03,7.321308863162995,471840,-43.148200607299806
5,23884,170.08630648999994,4430,205.41,147,-0.2774698927998543,0.023411680664867162,0.03,8.798981332778931,475660,-43.548682594299315
5,24065,170.87272829999998,4466,206.87,148,-5.413886272907257,0.036635493859648705,0.03,9.768761670589447,479280,-43.737481880187985
5,24278,171.91060685999997,4513,208.36,149,0.3654793709516525,0.014891137881204487,0.03,10.381261348724365,483540,-43.19755973815918
5,24494,171.99623502999998,4562,208.15,150,-1.6368520885705948,0.04156354051083326,0.03,10.030606722831726,487860,-43.55555381774902
5,24700,172.10699541999998,4606,209.45,151,-8.359599328041076,0.027304052095860242,0.03,8.67282259464264,491980,-42.70040588378906
5,24961,172.65967234,4647,211.25,152,-3.9776520252227785,0.01902668932452798,0.03,9.316861313581466,497200,-42.49901294708252
5,25145,171.54341369999997,4689,212.17,153,2.7851516723632814,0.01847193166613579,0.03,6.083502399921417,500880,-43.34062824249268
5,25358,172.68241404999998,4735,213.58,154,-1.36910360455513,0.016328467708081006,0.03,11.247103810310364,505140,-43.54200477600098
5,25583,173.408085,4779,214.73,155,1.126406279951334,0.016621412709355354,0.03,8.633628177642823,509640,-42.922203826904294
5,25785,174.17152318,4815,216.51,156,-0.1148081362247467,0.02531449729576707,0.03,11.187578248977662,513680,-41.3351547241211
5,25998,175.01572007,4849,218.37,157,-6.776643824577332,0.035418459214270115,0.03,8.275855576992035,517940,-41.74729194641113
