time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
7808,1698,183.75078447761197,116.53731343283582,4,67,-8898.552490234375,0.11589931324124336,0.003,154140,42.380825424194335,54090.74453125
7974,1736,185.27403826470592,117.26470588235294,4,68,-8319.376879882813,0.22010123804211618,0.003,157460,41.14380302429199,53838.4412109375
8017,1745,183.4889603478261,116.18840579710145,4,69,-8362.031958007812,-0.27626969926059247,0.003,158320,40.51076240539551,59828.4859375
8949,1954,196.58560800000004,127.84285714285714,4,70,-6063.173095703125,-0.10488178506493569,0.003,176960,29.307144832611083,24897.89716796875
9063,1980,197.23230229577467,127.64788732394366,4,71,-5825.799096679688,0.3839112389832735,0.003,179240,28.033700942993164,21271.206201171874
9086,1985,194.89360672222222,126.19444444444444,4,72,-5805.419580078125,-0.2577555861324072,0.003,179700,27.720919132232666,21160.90576171875
9104,1989,192.49921412328766,124.71232876712328,4,73,-5721.8365234375,0.2725001607090235,0.003,180060,29.134325790405274,26264.678515625
9314,2032,194.35221245945945,125.86486486486487,4,74,-4998.343212890625,-0.024301911145448683,0.003,184260,20.829870414733886,20790.744189453126
9356,2041,192.44385449333333,124.74666666666667,4,75,-4983.668237304688,0.05075130891054869,0.003,185100,20.87664909362793,19586.195458984374
9522,2077,193.42872290789472,125.28947368421052,4,76,-6908.18427734375,-0.501244824193418,0.003,188420,47.21234893798828,43604.02109375
9573,2088,191.9041295064935,124.32467532467533,4,77,-7543.353002929687,0.15551311559975148,0.003,189440,49.96516571044922,42730.81435546875
9599,2094,189.86729237179486,123.06410256410257,4,78,-7763.036694335938,0.16408266127109528,0.003,189960,48.33876972198486,42511.25078125
9751,2129,190.80020931645566,123.43037974683544,4,79,-8156.468334960938,-0.32528867162764075,0.003,193000,33.52120170593262,44832.173046875
10105,2204,194.4398052,126.3125,4,80,-7754.992724609375,-0.5936768874526024,0.003,200080,47.35163974761963,38169.56943359375
10233,2231,195.43406367901235,126.33333333333333,4,81,-8119.44013671875,0.23499907813966275,0.003,202640,33.5635290145874,40686.69794921875
10289,2244,194.21429731707318,125.47560975609755,4,82,-7906.6638671875,-0.014432160928845406,0.003,203760,28.147454071044923,39496.93857421875
10454,2279,195.5078676506024,125.95180722891567,4,83,-6887.038354492188,0.5086200661957264,0.003,207060,24.074404335021974,26580.028515625
10468,2282,193.31803617857145,124.61904761904762,4,84,-6824.4912109375,-0.06491326130926608,0.003,207340,24.128489685058593,28275.3546875
10481,2284,191.16943968235296,123.30588235294118,4,85,-6855.725659179688,0.35110477432608606,0.003,207600,28.0762601852417,27170.73486328125
10497,2288,189.1350593023256,122.05813953488372,4,86,-6764.940649414062,0.11105583049356937,0.003,207920,28.187177753448488,28801.04619140625
10513,2291,187.1572314137931,120.83908045977012,4,87,-6776.919775390625,-0.6228984985500574,0.003,208240,26.287867736816406,38749.79267578125
10632,2318,187.41227001136366,120.81818181818181,4,88,-6558.907055664063,-0.26753539219498634,0.003,210620,28.28839855194092,31344.1623046875
10863,2369,189.6202518764045,122.0561797752809,4,89,-6189.526928710938,0.2302306540310383,0.003,215240,27.86800413131714,31405.53251953125
11182,2438,191.2367186777778,124.24444444444444,4,90,-6193.612475585937,0.2398382741957903,0.003,221620,22.702829551696777,32877.1697265625
11437,2494,192.93318632967035,125.68131868131869,4,91,-7304.639794921875,-0.5142331924289465,0.003,226720,24.320865440368653,121302.840234375
11509,2510,192.18321951086958,125.09782608695652,4,92,-8093.008642578125,-1.1709745600819588,0.003,228160,40.20939750671387,137850.100390625
11607,2531,192.2667080752688,124.80645161290323,4,93,-10189.842822265626,0.07783756703138352,0.003,230120,51.5089204788208,176656.61171875
11671,2545,191.49608282978724,124.15957446808511,4,94,-11308.787060546874,-0.13651255927979947,0.003,231400,59.257969284057616,191342.88671875
11781,2569,191.7568239052632,124.01052631578948,4,95,-14229.525732421875,-0.47246861159801484,0.003,233600,75.87705879211425,224356.3265625
11883,2588,191.78881336458335,123.78125,4,96,-16026.720654296874,-0.14172714054584504,0.003,235640,65.32527084350586,233970.80546875
12072,2628,192.36087730927838,124.45360824742268,4,97,-17169.43193359375,0.2180985651910305,0.003,239420,86.61376113891602,300555.115625
12365,2692,194.61118120408165,126.1734693877551,4,98,-22971.201953125,-0.3344005636870861,0.003,245280,99.10049324035644,314795.60078125
12516,2725,195.71413648484852,126.42424242424242,4,99,-24385.9435546875,0.02956857830286026,0.003,248300,80.83248901367188,317034.31484375
12720,2770,197.11769669,127.2,4,100,-23148.6328125,-0.5264206677675247,0.003,252380,68.13847732543945,266094.32421875
13047,2838,201.43715856999998,130.12,4,101,-22335.40693359375,0.6379563789814711,0.003,258920,86.24807472229004,252421.63828125
13378,2910,205.89691619999994,133.28,4,102,-22734.841796875,0.19953422024846076,0.003,265540,68.78989028930664,324057.4015625
13633,2967,209.45461337999998,135.72,4,103,-22334.0505859375,-0.3909830838441849,0.003,270640,76.36574440002441,248965.16640625
