time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate
37,1291,3624,2,147.3399478918919,97.94594594594595,14.37510256767273,0.1373518854379654,-49.61045455932617,70460,1.4154938459396362,0.03
38,1345,3775,2,150.87618750000004,99.34210526315789,11.042438054084778,0.12169168889522552,-54.251129150390625,73480,-0.4531806707382202,0.03
39,1402,3927,2,154.31997351282055,100.6923076923077,12.249200248718262,0.10856341570615768,-58.563045501708984,76520,-1.3370685577392578,0.03
40,1460,4083,2,157.7160377,102.075,17.701501083374023,0.11777618527412415,-56.809120178222656,79640,1.1267480850219727,0.03
41,1526,4262,2,161.53532953658535,103.95121951219512,21.300258445739747,0.0953497514128685,-60.15214920043945,83220,1.9640352725982666,0.03
42,1581,4413,2,164.37432697619047,105.07142857142857,12.037633085250855,0.1306867003440857,-57.893409729003906,86240,0.4552357792854309,0.03
43,1646,4590,2,167.78424895348834,106.74418604651163,10.176449918746949,0.10013589262962341,-65.55030059814453,89780,2.1312108039855957,0.03
44,1700,4737,2,170.28592679545451,107.6590909090909,9.703834342956544,0.10655725747346878,-63.676483154296875,92720,0.6916213035583496,0.03
45,1759,4896,2,172.97687275555552,108.8,12.134065294265747,0.11397220939397812,-65.18350219726562,95900,-0.6266323924064636,0.03
46,1813,5050,2,175.40284997826083,109.78260869565217,11.814069843292236,0.11009836196899414,-65.75274658203125,98980,1.341336727142334,0.03
47,1868,5203,2,177.68071899999998,110.70212765957447,10.896362924575806,0.1039392501115799,-67.94761657714844,102040,0.7619369029998779,0.03
48,1923,5359,2,180.0229470416667,111.64583333333333,11.927898335456849,0.0980294942855835,-64.96385192871094,105160,0.13737015426158905,0.03
49,1977,5511,2,182.2731748979592,112.46938775510205,11.6517014503479,0.0965297594666481,-70.1228256225586,108200,0.11151701211929321,0.03
