time/fps,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss
3,718,25,211,28.72,9.46581068,0.6966946125030518,0.10395655035972595,12340,0.03,-20.04061508178711,6.78897500038147
3,878,26,265,33.76923076923077,19.866202961538463,0.3180598020553589,0.1263316571712494,15540,0.03,-26.335914611816406,9.02263777256012
3,941,27,286,34.851851851851855,19.554486407407406,-0.13535064458847046,0.12461138516664505,16800,0.03,-27.932167053222656,10.580324649810791
3,1089,28,336,38.892857142857146,28.554137821428576,0.3390696942806244,0.14162681996822357,19760,0.03,-39.856956481933594,17.714696741104127
3,1244,29,387,42.89655172413793,37.205144137931036,0.28692394495010376,0.13457228243350983,22860,0.03,-41.29011917114258,18.486835956573486
3,1551,30,488,51.7,50.46219800000001,2.0924642086029053,0.11759751290082932,29000,0.03,-29.214229583740234,16.21341586112976
3,2402,31,767,77.48387096774194,81.53103919354838,-0.5140312910079956,0.08066607266664505,46020,0.03,-43.510597229003906,9.089700937271118
3,2829,32,905,88.40625,98.39657525,-1.0239460468292236,0.09404189884662628,54560,0.03,-45.61628723144531,10.011666655540466
3,2971,33,951,90.03030303030303,98.93119318181817,0.17350152134895325,0.11414007842540741,57400,0.03,-44.061546325683594,17.04721608161926
3,3114,34,997,91.58823529411765,99.48997223529412,0.17100447416305542,0.10778060555458069,60260,0.03,-44.71904754638672,21.48884172439575
3,3705,35,1186,105.85714285714286,121.07480917142857,2.459987163543701,0.09738018363714218,72080,0.03,-42.00132751464844,13.950437021255492
3,4173,36,1337,115.91666666666667,134.14074716666667,0.580845296382904,0.09926639497280121,81440,0.03,-27.236413955688477,27.293024349212647
3,5173,37,1658,139.8108108108108,158.78177513513515,-0.3374701142311096,0.11667509377002716,101440,0.03,-29.132537841796875,76.69849395751953
3,5329,38,1709,140.23684210526315,161.83553686842106,0.35154423117637634,0.10695357620716095,104560,0.03,-32.048362731933594,20.60954279899597
3,5477,39,1757,140.43589743589743,164.50042312820514,0.007094651460647583,0.09846590459346771,107520,0.03,-30.715808868408203,17.277649974823
3,5619,40,1804,140.475,166.876736225,-0.22031205892562866,0.09948287159204483,110360,0.03,-32.483333587646484,15.72222967147827
3,5766,41,1851,140.6341463414634,169.24388175609755,-0.06480858474969864,0.12564188241958618,113300,0.03,-35.6743049621582,27.268148994445802
3,5910,42,1898,140.71428571428572,171.478879,-1.6331429481506348,0.10957443714141846,116180,0.03,-35.66996765136719,19.29687919616699
3,6058,43,1946,140.88372093023256,173.67493039534884,0.9553441405296326,0.09918086975812912,119140,0.03,-38.18680953979492,14.363152503967285
3,6202,44,1992,140.95454545454547,175.69458129545453,-0.12382964789867401,0.11574190109968185,122020,0.03,-42.536231994628906,22.262784814834596
3,6347,45,2038,141.04444444444445,177.65562324444443,-0.19925108551979065,0.09097669273614883,124920,0.03,-43.43831253051758,20.001621866226195
3,6490,46,2084,141.08695652173913,179.44341282608693,0.35572123527526855,0.10473272949457169,127780,0.03,-46.565147399902344,23.14232454299927
3,6632,47,2130,141.10638297872342,181.14674842553188,0.2979440689086914,0.09234511852264404,130620,0.03,-42.896507263183594,13.26301441192627
3,6776,48,2176,141.16666666666666,182.84267404166667,0.5559121370315552,0.080466128885746,133500,0.03,-47.79618835449219,13.069902610778808
3,6918,49,2223,141.18367346938774,184.41911259183675,-0.5907249450683594,0.08876937627792358,136340,0.03,-50.458740234375,11.281788444519043
3,7064,50,2270,141.28,186.02368094000002,-1.8070592880249023,0.07413340359926224,139260,0.03,-53.287635803222656,10.546165013313294
