time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates
28,133.64285714285714,3742,191.19551514285712,432,8,-245.09783935546875,0.003,0.15492063760757446,1.689609169960022,4.000831270217896,72820
29,133.82758620689654,3881,193.68104220689654,449,8,-247.49972534179688,0.003,0.1509011685848236,-0.2762523889541626,2.1064204812049865,75600
30,136.63333333333333,4099,198.67705109999997,476,8,-246.21173095703125,0.003,0.13254867494106293,-1.3746612071990967,1.8520436465740204,79960
31,138.09677419354838,4281,202.42953229032256,498,8,-245.07339477539062,0.003,0.12503021955490112,-0.3561292886734009,2.7736173033714295,83600
32,137.6875,4406,203.4678104375,513,8,-245.6505889892578,0.003,0.12456676363945007,-0.9324754476547241,2.88848494887352,86100
33,137.24242424242425,4529,203.9820696363636,528,8,-241.91549682617188,0.003,0.1290050745010376,0.2472614049911499,3.9195247411727907,88560
34,136.73529411764707,4649,204.63721385294116,542,8,-244.65061950683594,0.003,0.13379302620887756,1.073857069015503,2.6543166875839233,90960
35,136.4,4774,206.00537648571427,556,8,-241.3605194091797,0.003,0.13492339849472046,0.1843581646680832,3.477973484992981,93460
36,135.02777777777777,4861,205.06280077777777,566,8,-244.00982666015625,0.003,0.13602668046951294,0.6130090355873108,4.69899491071701,95200
37,134.75675675675674,4986,206.28660756756753,581,8,-246.4214630126953,0.003,0.14971254765987396,-0.5758740305900574,8.129711008071899,97700
38,135.39473684210526,5145,208.4112629736842,600,8,-244.37371826171875,0.003,0.14374299347400665,0.3455559015274048,3.1803385972976685,100880
39,137.43589743589743,5360,212.55434176923075,625,8,-242.90585327148438,0.003,0.1349906325340271,-0.9969469308853149,3.052436912059784,105180
40,137.55,5502,213.863145575,642,8,-242.59906005859375,0.003,0.12914013862609863,0.35265737771987915,3.4805824160575867,108020
41,137.9512195121951,5656,215.5740607804878,661,8,-237.77230834960938,0.003,0.11970894783735275,0.2008199691772461,7.710903918743133,111100
42,137.5952380952381,5779,216.4179175,676,8,-238.76007080078125,0.003,0.112887904047966,0.2912420630455017,2.9801959097385406,113560
43,138.2093023255814,5943,218.48038223255813,696,8,-233.0489044189453,0.003,0.12174639105796814,-0.4788685441017151,3.674140179157257,116840
44,138.47727272727272,6093,219.46855447727273,714,8,-231.7384796142578,0.003,0.11482733488082886,0.16669608652591705,4.051100564002991,119840
45,140.42222222222222,6319,222.43662524444443,741,8,-231.07772827148438,0.003,0.10988406091928482,-0.37933504581451416,2.4020496726036074,124360
46,140.8913043478261,6481,224.10369736956523,760,8,-225.29840087890625,0.003,0.10949505120515823,-0.393314003944397,2.9160029888153076,127600
47,141.08510638297872,6631,225.28458,777,8,-223.11697387695312,0.003,0.10886877030134201,0.5543453693389893,4.0291624665260315,130600
48,139.58333333333334,6700,223.0928528125,785,8,-220.3798828125,0.003,0.10742656886577606,0.07578396797180176,3.752919912338257,131980
49,140.10204081632654,6865,224.59523453061226,804,8,-219.8101348876953,0.003,0.10842623561620712,-1.2401379346847534,3.0654963850975037,135280
