rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss
84.72972972972973,5,3135,538,37,45.74953224324324,0.03,64.26778526306153,60680,-81.03351669311523,0.4045273020863533,0.15029304586350917
86.05263157894737,5,3270,565,38,45.47691426315789,0.03,86.40585975646972,63380,-74.71113433837891,0.4357524573802948,-0.13574719689786435
88.12820512820512,5,3437,603,39,46.44090479487179,0.03,75.2809633255005,66720,-69.72533283233642,0.3327956274151802,0.18085793480277063
87.7,5,3508,616,40,46.951409225,0.03,81.49656772613525,68140,-64.64914932250977,0.36103625893592833,0.28056032173335554
85.92682926829268,5,3523,618,41,45.75672446341463,0.03,86.58054466247559,68440,-65.67625007629394,0.43347631543874743,-0.7332067664712667
87.47619047619048,5,3674,639,42,51.049188714285705,0.03,71.4352144241333,71460,-71.54678802490234,0.39330571740865705,0.09368862416595221
88.95348837209302,5,3825,663,43,55.02435206976744,0.03,98.74037284851075,74480,-84.16764678955079,0.6563508033752441,-0.02859005192294717
88.77272727272727,5,3906,676,44,52.96078077272727,0.03,97.13420372009277,76100,-91.65602645874023,0.5407612606883049,-0.36610130220651627
87.95555555555555,5,3958,688,45,51.742215555555546,0.03,89.16401138305665,77140,-94.90706291198731,0.41169857382774355,0.6595110945403576
87.04347826086956,5,4004,699,46,50.446391934782596,0.03,79.407763671875,78060,-88.17417907714844,0.36982533037662507,-0.45647259801626205
86.97872340425532,5,4088,710,47,51.61779670212764,0.03,77.08960018157958,79740,-86.04588623046875,0.34754346758127214,-0.031453049182891844
86.27083333333333,5,4141,717,48,51.24072891666666,0.03,57.563072776794435,80800,-85.27928581237794,0.31044383347034454,0.12623816449195147
87.71428571428571,5,4298,745,49,50.79643171428571,0.03,49.03161144256592,83940,-94.012939453125,0.35360310822725294,-0.20325318314135074
89.48,5,4474,780,50,51.9912453,0.03,61.546987533569336,87460,-83.33608703613281,0.3211481779813766,-0.3807042222470045
88.62745098039215,5,4520,788,51,50.653124509803924,0.03,43.75301284790039,88380,-82.87167282104492,0.25606956481933596,0.0475545696914196
88.0576923076923,5,4579,795,52,49.69308632692308,0.03,48.383629417419435,89560,-82.17193222045898,0.3682164207100868,0.2819526012986898
88.62264150943396,5,4697,811,53,48.97558152830189,0.03,62.86512432098389,91920,-79.75916175842285,0.3153460457921028,-0.25364871621131896
88.62962962962963,5,4786,822,54,47.257878222222224,0.03,63.54835796356201,93700,-77.06916732788086,0.3361967906355858,-0.0718397043645382
88.34545454545454,5,4859,839,55,46.05676125454546,0.03,67.5388277053833,95160,-76.8635311126709,0.2560542024672031,0.638455381989479
89.03571428571429,5,4986,862,56,47.22022523214286,0.03,104.43053321838379,97700,-76.9400203704834,0.38410443663597105,-0.18351409658789636
89.08771929824562,5,5078,881,57,46.76742543859649,0.03,96.03929824829102,99540,-77.45990047454833,0.3455523118376732,-0.5330433670431376
89.75862068965517,5,5206,904,58,47.081936362068966,0.03,154.622550201416,102100,-87.30694389343262,0.29746526181697847,0.2862841758877039
90.54237288135593,5,5342,922,59,51.2005046779661,0.03,303.47469940185545,104820,-120.07048034667969,0.974097827076912,0.030847384876688012
89.3,5,5358,924,60,50.104482866666665,0.03,286.92367095947264,105140,-118.47403755187989,0.8287921696901321,-0.0018842097837477923
88.18032786885246,5,5379,928,61,49.098195606557375,0.03,270.70587692260744,105560,-123.23475914001465,0.8266709983348847,-0.02025984050706029
87.09677419354838,5,5400,933,62,48.02736208064516,0.03,270.7840065002441,105980,-115.76654434204102,0.556246891617775,0.46792553290724753
86.12698412698413,5,5426,938,63,47.07902934920635,0.03,369.2358856201172,106500,-120.83500938415527,0.9799715578556061,0.02153322729864158
85.234375,5,5455,941,64,46.6733694375,0.03,422.11864013671874,107080,-134.60238227844238,1.0342228710651398,0.04240453268866986
85.61538461538461,5,5565,960,65,46.6713736923077,0.03,266.2047714233398,109280,-153.4653175354004,0.7716022521257401,-0.02790072709321976
85.39393939393939,5,5636,975,66,45.64199468181818,0.03,241.3816246032715,110700,-181.16547317504882,0.6672568768262863,0.05335972812026739
84.80597014925372,5,5682,986,67,44.85051234328358,0.03,208.40827407836915,111620,-173.99292068481446,0.48703579902648925,0.09804481659084559
87.6029411764706,5,5957,1035,68,49.87821085294118,0.03,249.94880599975585,117120,-159.9920738220215,0.736823457479477,0.10934529537335039
88.04347826086956,5,6075,1063,69,50.71443905797101,0.03,233.55230255126952,119480,-148.77031860351562,0.669927129149437,-0.0028590836562216284
89.54285714285714,5,6268,1107,70,54.58787694285714,0.03,352.7578956604004,123340,-133.2380813598633,0.4482543781399727,0.21936395354568958
90.11267605633803,5,6398,1134,71,54.33948887323943,0.03,269.6568771362305,125940,-117.42091865539551,0.4848823681473732,-0.0009506493806838989
89.91666666666667,5,6474,1146,72,54.45463505555555,0.03,246.03521118164062,127460,-103.33418426513671,0.43135635554790497,-0.4505355555564165
90.5068493150685,5,6607,1175,73,56.775214,0.03,269.71747131347655,130120,-86.37462921142578,0.44107401072978974,-0.6941612225025893
91.58108108108108,5,6777,1205,74,57.04636067567568,0.03,192.8279037475586,133520,-67.28573207855224,0.3234291821718216,-0.21866798512637614
91.13333333333334,5,6835,1213,75,56.21582338666667,0.03,148.47978744506835,134680,-61.45732498168945,0.4799146443605423,-0.10755912885069847
92.46052631578948,5,7027,1254,76,59.562850157894744,0.03,116.46678886413574,138520,-58.84235897064209,0.29687468335032463,-0.5653560683131218
93.37662337662337,5,7190,1292,77,58.94998081818183,0.03,103.43533554077149,141780,-71.17971534729004,0.4211662545800209,1.1672930628992617
94.12820512820512,5,7342,1325,78,58.62061137179488,0.03,92.96687469482421,144820,-73.50926055908204,0.3649405658245087,0.011981341987848282
94.56962025316456,5,7471,1345,79,57.7960963544304,0.03,79.63469638824463,147400,-68.24843940734863,0.35888065695762633,0.24396901540458202
94.3,5,7544,1359,80,57.194458575,0.03,82.27649097442627,148860,-70.11038551330566,0.2520949564874172,0.7168117880821228
96.46913580246914,5,7814,1410,81,58.951176271604936,0.03,49.017404079437256,154260,-58.943902778625485,0.1926899418234825,-0.9922144249081611
96.85365853658537,5,7942,1428,82,60.0111083902439,0.03,44.486393737792966,156820,-55.493010902404784,0.25493320599198344,1.4495910599827766
96.5421686746988,5,8013,1437,83,59.62825343373493,0.03,54.247408866882324,158240,-61.47435131072998,0.20914651826024055,0.6807701263576746
97.14285714285714,5,8160,1461,84,61.29386961904761,0.03,41.13301820755005,161180,-51.41626815795898,0.11047196798026562,2.1065599232912064
98.44705882352942,5,8368,1493,85,64.78906069411764,0.03,20.543522357940674,165340,-49.28533420562744,0.09524050801992416,0.6518424868583679
99.75581395348837,5,8579,1542,86,68.65477437209302,0.03,18.262600708007813,169560,-46.02083282470703,0.1269010953605175,-1.4451186567544938
100.80459770114942,5,8770,1578,87,71.53810686206896,0.03,17.257966804504395,173380,-45.06911201477051,0.11997170671820641,-0.7146593928337097
102.4090909090909,5,9012,1628,88,73.07595509090909,0.03,16.923302745819093,178220,-42.11996307373047,0.10803811848163605,-1.2320634454488755
103.61797752808988,5,9222,1669,89,76.23329956179775,0.03,15.134073829650879,182420,-42.13527221679688,0.08844323344528675,1.0544372461736202
105.03333333333333,5,9453,1720,90,79.95496233333333,0.03,9.926235675811768,187040,-40.846863746643066,0.04238490257412195,1.1810534052550792
106.83516483516483,5,9722,1772,91,83.7405916043956,0.03,10.685728168487548,192420,-39.02310333251953,0.06586102694272995,0.6875355422496796
108.78260869565217,5,10008,1821,92,87.58647236956521,0.03,10.687051057815552,198140,-37.620730018615724,0.047483643516898155,1.6517371833324432
110.21505376344086,5,10250,1871,93,88.33757834408603,0.03,10.812380504608154,202980,-41.68600444793701,0.05850952621549368,-0.7373669281601906
110.96808510638297,5,10431,1897,94,88.64422777659576,0.03,11.105262923240662,206600,-39.99327983856201,0.03492324687540531,-3.9245549857616426
111.42105263157895,5,10585,1925,95,88.6548609157895,0.03,10.162294173240662,209680,-38.729471397399905,0.04213897436857224,-2.1157838314771653
