time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef
5,171.06,116.16603398999997,4146,22358,146,6445866752.0,445140,0.003,-1888213.8625,0.5223630711436271,3965.4363403320312
5,171.45,119.53210285999998,4185,22532,147,7191983539.2,448620,0.003,-1897051.8,-1.4636387288570405,3900.3612670898438
5,171.49,121.71707150999998,4217,22704,148,6731569356.8,452060,0.003,-1898424.60625,-0.515074822306633,3999.1571533203123
5,172.63,124.49067316,4241,22854,149,6340107161.6,455060,0.003,-1843784.95,1.1837796956300735,3999.8369384765624
5,171.49,123.27289625000002,4267,22988,150,6186140185.6,457740,0.003,-1805574.5375,-0.6343424320220947,3605.5650634765625
5,171.56,125.32624624999998,4290,23113,151,6351877734.4,460240,0.003,-1732522.1125,1.869135671854019,3634.936962890625
5,171.13,127.27243628999999,4312,23252,152,6141327411.2,463020,0.003,-1639305.51875,1.1567226856946946,3401.160681152344
5,175.34,132.50319895999996,4423,23855,153,5650997145.6,475080,0.003,-1563768.01875,-0.5537730902433395,3464.57392578125
5,176.21,132.95196591999996,4447,23994,154,5651521638.4,477860,0.003,-1502199.8375,-0.13398698344826698,3327.8044189453126
5,177.98,134.23030416999995,4484,24216,155,5072187366.4,482300,0.003,-1412951.35625,0.9365232974290848,2966.897595214844
5,178.27,133.80398541999998,4526,24449,156,5469133542.4,486960,0.003,-1423819.9,0.03370515704154968,3173.6766967773438
5,180.84,136.49387083999997,4580,24772,157,4413879155.2,493420,0.003,-1356195.86875,1.0230403423309327,2836.857067871094
5,181.56,132.80467266999997,4640,25089,158,4059121792.0,499760,0.003,-1232271.23125,0.5762639969587326,2949.008264160156
5,180.65,129.19364153999996,4681,25325,159,4071187737.6,504480,0.003,-1191965.55625,0.22242999970912933,2943.2239501953127
5,180.6,127.27005353999999,4702,25435,160,4338497049.6,506680,0.003,-1234611.55625,0.9623511910438538,2859.94287109375
5,179.53,124.15062494999998,4723,25565,161,4850619456.0,509280,0.003,-1286632.675,-0.060041573643684384,2918.5037353515627
5,179.42,124.24957878,4736,25647,162,5004038899.2,510920,0.003,-1290914.13125,0.10801453590393066,3045.5069091796877
5,180.36,126.45526514,4761,25790,163,5848900940.8,513780,0.003,-1348347.7125,-2.0538052201271055,3237.1810668945313
5,179.94,126.21563382999999,4780,25901,164,6512510387.2,516000,0.003,-1451973.29375,0.6064426839351654,3235.310009765625
5,180.47,126.19592733999998,4797,26014,165,7675659494.4,518260,0.003,-1556337.0125,-0.707535719871521,3496.4809814453124
5,180.69,126.28411017999997,4814,26120,166,6979556633.6,520380,0.003,-1649244.45,0.5901758894324303,3703.4783935546875
5,182.99,128.18177817,4866,26427,167,7435046092.8,526520,0.003,-1821253.08125,0.7166689097881317,3904.7210693359375
5,184.18,127.04728229,4903,26672,168,7228509056.0,531420,0.003,-1884047.20625,-0.9426459819078445,3904.8967895507812
5,185.98,130.75153385000002,4986,27163,169,7269548236.8,541240,0.003,-1768667.075,-0.3837064266204834,3622.2920654296877
5,183.95,128.42952423,5000,27229,170,6824761036.8,542560,0.003,-1749287.00625,1.416033136844635,3632.999267578125
5,182.4,126.36317532000001,5010,27275,171,7437000012.8,543480,0.003,-1703466.33125,0.86558877825737,3652.3322875976564
5,182.32,125.83356172000002,5035,27401,172,7776889702.4,546000,0.003,-1730310.03125,0.49788414388895036,3975.915075683594
5,182.19,125.67790902,5058,27522,173,7378966579.2,548420,0.003,-1761525.71875,-0.0699082151055336,3941.918737792969
5,181.44,124.73926397999999,5075,27630,174,6912684416.0,550580,0.003,-1695631.80625,0.3624630689620972,3832.0024658203124
5,177.87,123.44394340000001,5089,27731,175,7158148019.2,552600,0.003,-1640455.21875,-0.466973552107811,3758.3261962890624
5,178.23,122.9191459,5121,27913,176,6109239731.2,556240,0.003,-1581064.1375,0.9453319534659386,3597.531201171875
5,187.35,134.57539007000003,5300,28913,177,6128846054.4,576240,0.003,-1492432.34375,1.2871359974145888,3539.325634765625
5,186.78,134.22015417999998,5312,28965,178,6060041216.0,577280,0.003,-1528840.7125,1.0909938246011734,3506.563830566406
5,188.87,137.42897087,5358,29278,179,5844839936.0,583540,0.003,-1547783.94375,0.4339480593800545,3465.015673828125
5,188.24,137.46920407000002,5380,29385,180,5928994867.2,585680,0.003,-1520027.80625,0.4527081519365311,3328.0936767578123
5,187.71,136.77417375000002,5413,29566,181,6164134707.2,589300,0.003,-1546801.1125,-0.5992956638336182,3468.8597900390623
5,186.59,133.07647446000001,5451,29783,182,6553122048.0,593640,0.003,-1566532.61875,0.9916589170694351,3307.508203125
5,185.93,131.45216905,5474,29897,183,6808243814.4,595920,0.003,-1574378.6125,1.286284539103508,3310.0009765625
5,185.51,131.25612605,5482,29942,184,6891994982.4,596820,0.003,-1593978.1625,0.6338406562805176,3371.314807128906
5,184.97,129.77251232999998,5502,30060,185,6848368051.2,599180,0.003,-1629890.825,1.1771421402692794,3481.7939208984376
5,188.57,139.32943051,5590,30542,186,6551582745.6,608820,0.003,-1540079.2,0.6437899962067604,3338.1269775390624
5,188.55,139.18108763999996,5622,30700,187,7151437849.6,611980,0.003,-1561378.06875,0.4770311012864113,3519.0986938476562
5,185.06,135.40586107,5647,30847,188,8173611724.8,614920,0.003,-1591870.95625,-0.5470424152910709,3690.2868041992188
5,184.98,133.79182479,5677,31009,189,8058983014.4,618160,0.003,-1639073.1125,-0.5226192682981491,3709.525439453125
5,187.91,136.33794047,5749,31392,190,6673401881.6,625820,0.003,-1547277.28125,1.569520077109337,3334.9225463867188
5,190.67,138.20666089,5796,31715,191,5853265587.2,632280,0.003,-1441258.2,-0.9111633419990539,3073.5599975585938
5,191.25,138.18240705,5832,31902,192,5605368678.4,636020,0.003,-1402090.8625,-0.02506251633167267,3109.5662841796875
5,194.62,144.47396704,5933,32474,193,6031536076.8,647460,0.003,-1421732.425,0.9673656165599823,3121.0271606445312
5,196.35,147.45218676,5974,32692,194,6470022860.8,651820,0.003,-1485260.69375,1.4264280006289483,3563.287890625
5,195.85,147.96690974,5985,32739,195,7258079027.2,652760,0.003,-1505898.44375,1.6538039803504945,3662.6441040039062
5,196.99,149.43391238,6039,33009,196,6309363840.0,658160,0.003,-1516775.68125,1.265576332807541,3090.9037353515623
5,205.59,158.84463561,6193,33921,197,5009551001.6,676400,0.003,-1218150.2375,-0.07985269129276276,2881.6962646484376
5,203.4,154.61751375000003,6227,34105,198,5840856473.6,680080,0.003,-1219466.6,-0.6833074688911438,2834.0441162109373
5,204.23,154.60355166000002,6243,34205,199,5918943385.6,682080,0.003,-1217116.2875,-1.6189231365919112,2771.500378417969
5,205.4,154.08580744,6264,34342,200,7694942310.4,684820,0.003,-1240897.225,-0.28310357183218005,3039.1596923828124
5,206.19,154.12244438999997,6281,34444,201,9353672524.8,686860,0.003,-1308007.7875,-0.6570570334792137,3173.526708984375
5,206.94,153.77655028,6312,34627,202,10672495513.6,690520,0.003,-1425851.05,0.7728634938597679,3612.2640747070313
5,207.2,154.89374504,6344,34798,203,12144772454.4,693940,0.003,-1584952.375,0.690459756553173,4240.32353515625
5,206.59,153.22133506,6370,34921,204,12069577113.6,696400,0.003,-1703890.225,-0.7502603381872177,3925.3274780273437
5,206.64,158.15365222,6419,35197,205,8986189363.2,701920,0.003,-1608650.00625,0.8788911700248718,3494.558203125
5,206.1,158.16832639999996,6431,35288,206,7719574937.6,703740,0.003,-1579478.675,0.5926228165626526,3317.9659790039063
5,208.18,162.87468489,6475,35549,207,7028021529.6,708960,0.003,-1545966.225,-0.027486711740493774,3238.28681640625
5,208.67,163.34340661,6492,35629,208,7336005145.6,710560,0.003,-1536016.525,-0.683087420463562,3266.356396484375
5,210.34,168.17435594,6525,35836,209,7304328908.8,714700,0.003,-1515033.3,0.057102525234222413,3126.05224609375
5,212.38,170.94427411999996,6572,36098,210,7206734694.4,719940,0.003,-1520761.25,-1.4129798233509063,3258.3109497070313
5,214.32,176.04778542,6619,36357,211,8101790105.6,725120,0.003,-1574757.6625,-0.3346125721931458,3239.1662353515626
5,214.51,178.28301001,6644,36510,212,7363235635.2,728180,0.003,-1563892.83125,-2.840364158153534,2940.246044921875
5,213.45,174.44737281,6665,36623,213,7501882777.6,730440,0.003,-1541961.875,0.3778498411178589,3021.18642578125
5,213.36,175.25123248,6680,36734,214,6985928524.8,732660,0.003,-1541417.83125,0.7921616181731224,3212.9297729492187
5,212.42,172.59109792999996,6701,36849,215,7130581427.2,734960,0.003,-1551373.975,-2.6753534018993377,3057.390185546875
5,210.5,173.58514297000002,6737,37048,216,6476116582.4,738940,0.003,-1546571.71875,-0.63643768876791,3121.7086669921873
5,208.97,173.89362734999997,6759,37167,217,6411245184.0,741320,0.003,-1540363.68125,0.298914934694767,3157.243298339844
5,208.17,172.03337577,6809,37446,218,5722514240.0,746900,0.003,-1503162.65625,0.8790093138813972,3043.542687988281
5,205.52,167.7263023,6837,37568,219,5744035430.4,749340,0.003,-1477178.975,-1.5129603326320649,2882.8596435546874
5,205.69,169.81894068000003,6896,37921,220,5161042022.4,756400,0.003,-1390932.0,-1.0021957218647004,2863.8355712890625
5,208.31,176.9366997,7003,38542,221,5361211417.6,768820,0.003,-1350503.325,0.7045021712779999,2890.609375
5,209.23,177.92781342,7038,38738,222,5459850521.6,772740,0.003,-1322374.3,1.3562472581863403,2857.9332885742188
5,207.24,175.84963195000003,7047,38785,223,5745784896.0,773680,0.003,-1335931.66875,0.7508863016963006,3014.8275146484375
5,204.86,177.93944678,7068,38902,224,5721099520.0,776020,0.003,-1324292.5125,-0.6137916743755341,2860.593151855469
5,208.6,182.7163325,7157,39396,225,5763523532.8,785900,0.003,-1328052.275,0.6233431875705719,2866.78642578125
5,206.47,183.92078936000001,7199,39635,226,5939142758.4,790680,0.003,-1385928.74375,0.3288143664598465,2987.79501953125
5,206.38,186.45345422999998,7224,39764,227,6718141132.8,793260,0.003,-1422363.7625,-1.1604520082473755,3008.72919921875
5,206.64,189.8772132,7247,39900,228,6709448960.0,795980,0.003,-1436724.79375,1.076896321773529,3176.78876953125
5,204.97,190.12231987000004,7265,40009,229,6652896665.6,798160,0.003,-1480959.875,-0.19910380840301514,3224.9559936523438
5,205.41,191.03374667,7282,40091,230,6345248537.6,799800,0.003,-1489283.64375,-0.6033464133739471,3243.9792358398436
5,205.23,191.94433774,7299,40206,231,6885839948.8,802100,0.003,-1498241.70625,0.9280574738979339,3189.066650390625
5,204.95,191.87216015,7314,40288,232,6529921561.6,803740,0.003,-1519821.10625,-0.000713968276977539,3211.299755859375
5,204.64,194.55576604,7334,40398,233,6286293068.8,805940,0.003,-1511251.9375,1.6975991874933243,3229.804443359375
5,202.95,198.06315847,7357,40534,234,6336493619.2,808660,0.003,-1555192.925,0.38947187066078187,3104.3496948242187
5,205.42,206.72503975,7432,40955,235,5996451251.2,817080,0.003,-1550905.275,-1.2584387540817261,3004.7433959960936
5,206.06,207.87654896999996,7449,41054,236,5924033459.2,819060,0.003,-1520194.7,0.03766721487045288,3045.7516357421873
5,207.52,211.95159833000002,7489,41305,237,5636157465.6,824080,0.003,-1452757.74375,1.1682603269815446,2974.024523925781
5,210.39,216.35896488999998,7555,41673,238,5551966771.2,831440,0.003,-1378787.50625,1.0548468098044395,2905.1533447265624
5,215.64,221.6430827,7655,42270,239,4428373708.8,843380,0.003,-1225916.14375,-1.2075767248868943,2449.1498901367186
5,210.75,218.13954074,7673,42350,240,4670987699.2,844980,0.003,-1194804.46875,0.44453596472740176,2473.0568237304688
5,210.58,219.16061209000003,7702,42474,241,4043214809.6,847460,0.003,-1163176.6625,0.026349076628685,2374.6958251953124
5,208.32,217.00642750000003,7745,42677,242,4415084300.8,851520,0.003,-1141902.95,1.3554889142513276,2414.8872192382814
5,208.06,217.8576648,7767,42793,243,4530728192.0,853840,0.003,-1154991.36875,2.4462303042411806,2383.7671752929687
5,210.45,223.15284945000002,7829,43136,244,4671834316.8,860700,0.003,-1182633.425,-2.039023254811764,2536.1568603515625
5,209.77,220.24266850999996,7843,43223,245,4828467776.0,862440,0.003,-1209699.74375,1.0347415506839752,2667.531359863281
