rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef
100.76949357777774,937,5,123.0,5535,45,99167915.2,0.003,108680,-279647.340625,0.7319652602076531,993.6353302001953
101.44929821739126,978,5,125.15217391304348,5757,46,111183609.6,0.003,113120,-297430.6296875,0.35708743408322335,1082.194024658203
100.69764612765952,997,5,124.80851063829788,5866,47,130371190.0,0.003,115300,-305777.04375,-0.4683895602822304,1112.0426452636718
101.17956547916667,1035,5,126.875,6090,48,138473418.8,0.003,119780,-323453.5515625,-0.5371003210544586,1174.7530029296875
99.78486826530612,1065,5,127.89795918367346,6267,49,175932795.2,0.003,123320,-351343.978125,-1.3916666954755783,1294.8589294433593
104.07999258,1097,5,129.14,6457,50,220743772.0,0.003,127120,-369628.971875,0.06518159657716752,1337.3007263183595
103.97099654901962,1131,5,130.37254901960785,6649,51,215654384.8,0.003,130960,-383500.9015625,0.7896616160869598,1411.2446838378905
106.34734565384616,1154,5,130.40384615384616,6781,52,294024434.4,0.003,133600,-400316.821875,0.20791954249143602,1418.2267517089845
109.35572101886794,1186,5,131.47169811320754,6968,53,373100446.4,0.003,137340,-441678.2125,-0.5122427552938461,1514.275732421875
110.65544931481483,1228,5,132.92592592592592,7178,54,412489838.4,0.003,141540,-502754.021875,-0.7793659567832947,1719.5269287109375
112.1499053818182,1253,5,132.87272727272727,7308,55,580672380.8,0.003,144140,-532049.403125,-1.181049007177353,1825.5481201171874
110.05982360714286,1268,5,131.92857142857142,7388,56,632232502.4,0.003,145740,-559212.753125,-0.7607928663492203,1923.8320678710938
112.90212271929823,1288,5,132.0,7524,57,871391865.6,0.003,148460,-632108.01875,-0.6067219972610474,1922.3838745117187
110.93954108620689,1309,5,131.81034482758622,7645,58,986877248.0,0.003,150880,-685921.778125,-0.332530266046524,2145.6180419921875
109.41374823728813,1331,5,131.67796610169492,7769,59,1330657657.6,0.003,153360,-762340.69375,0.037272751331329346,2439.161755371094
108.67252698333331,1352,5,131.41666666666666,7885,60,2928563168.0,0.003,155680,-903409.95,-0.922943064570427,2938.2335815429688
108.86983555737703,1396,5,134.04918032786884,8177,61,12243481497.6,0.003,161520,-1488102.35625,0.7347724109888076,4917.077368164062
110.67394498387095,1428,5,134.90322580645162,8364,62,30942504857.6,0.003,165260,-2124523.8,-0.6630999684333801,7137.94033203125
110.60700309523807,1464,5,136.0,8568,63,102676662784.0,0.003,169340,-3175041.0875,0.4741057738661766,9894.0638671875
113.260708828125,1519,5,138.734375,8879,64,167047902003.2,0.003,175560,-5004087.425,0.6715612679719924,15034.248046875
111.93730055384616,1533,5,138.1076923076923,8977,65,179590671974.4,0.003,177520,-5842382.525,-0.4469056040048599,17288.84658203125
116.58736025757577,1576,5,139.66666666666666,9218,66,408700693708.8,0.003,182340,-7943702.35,0.045905071496963504,21868.84931640625
120.79700492537313,1605,5,140.59701492537314,9420,67,429695630540.8,0.003,186380,-9763955.15,0.39303156435489656,25743.0212890625
123.16214729411764,1675,5,144.2941176470588,9812,68,451610253721.6,0.003,194220,-13060910.55,-0.8834779232740402,34759.1951171875
122.4215407246377,1690,5,143.56521739130434,9906,69,498341656985.6,0.003,196100,-13840645.65,-0.018475851416587828,35524.3220703125
125.39885324285714,1719,5,144.05714285714285,10084,70,547811927654.4,0.003,199660,-14857011.3,0.20602365136146544,35977.564453125
