time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss
31,1959,104.64657496774194,2,63.193548387096776,739,-108.9820785522461,0.43080079555511475,0.003,0.1586504727602005,37160,11.959263896942138
32,2364,114.93862725,2,73.875,898,-110.17668151855469,-0.2968280613422394,0.003,0.23105788230895996,45260,8.941530179977416
33,2453,115.2506893030303,2,74.33333333333333,933,-104.82122802734375,-0.22207874059677124,0.003,0.23395127058029175,47040,14.504113245010377
34,2574,114.59002452941176,2,75.70588235294117,980,-102.08010864257812,0.3298546075820923,0.003,0.21900832653045654,49460,8.555970096588135
35,2626,111.96176854285713,2,75.02857142857142,1000,-98.51896667480469,0.4538595378398895,0.003,0.21759052574634552,50500,38.33222069740295
36,2691,109.80283072222221,2,74.75,1026,-94.81124877929688,0.12267416715621948,0.003,0.22755882143974304,51800,21.118298768997192
37,2774,108.24854799999999,2,74.97297297297297,1058,-92.50917053222656,0.31655818223953247,0.003,0.2140517681837082,53460,47.700887775421144
38,2872,109.77803328947367,2,75.57894736842105,1096,-95.64787292480469,-0.5947067737579346,0.003,0.19235427677631378,55420,36.00034620761871
39,2994,113.90113899999997,2,76.76923076923077,1142,-97.13932800292969,-0.6178450584411621,0.003,0.15137290954589844,57860,11.798783493041991
40,3118,118.0855669,2,77.95,1191,-100.87866973876953,-0.6483033895492554,0.003,0.1306648552417755,60340,11.675352787971496
41,3202,119.46702846341464,2,78.09756097560975,1224,-103.24505615234375,-0.8539953231811523,0.003,0.12004806846380234,62020,7.7286288976669315
42,3317,121.76013916666668,2,78.97619047619048,1269,-106.10675048828125,-0.13185754418373108,0.003,0.1253204345703125,64320,13.959987998008728
43,3441,126.07863209302326,2,80.02325581395348,1318,-106.66766357421875,0.1981590986251831,0.003,0.12157472968101501,66800,8.813139843940736
44,3563,129.60741922727274,2,80.97727272727273,1366,-106.30392456054688,-0.06425917148590088,0.003,0.1113516166806221,69240,14.765289855003356
45,3686,133.97458871111112,2,81.91111111111111,1414,-108.71041870117188,-0.14771346747875214,0.003,0.12226983904838562,71700,10.337438869476319
46,3809,137.91806873913046,2,82.80434782608695,1462,-108.84928131103516,-0.49484187364578247,0.003,0.1328955441713333,74160,10.6506756067276
47,3923,141.26594297872342,2,83.46808510638297,1506,-110.9242935180664,-0.16870060563087463,0.003,0.13863906264305115,76440,13.142982625961304
48,4009,142.25477641666666,2,83.52083333333333,1540,-110.5242691040039,0.05420812964439392,0.003,0.1462104320526123,78160,15.688125658035279
49,4093,143.0359503265306,2,83.53061224489795,1574,-108.41638946533203,0.22714835405349731,0.003,0.15683753788471222,79840,28.441918325424194
