time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/actor_loss,train/critic_loss
1178,78.0,3,114.42940380434786,3588,46,0.03,-1.7451250553131104,0.12132050096988678,69740,-4.955544471740723,31.420865726470947
1181,76.51063829787235,3,111.9719731489362,3596,47,0.03,0.5779862403869629,0.10069407522678375,69900,-5.66560173034668,28.08157596588135
1184,75.0625,3,109.59629285416668,3603,48,0.03,0.8283872604370117,0.09702866524457932,70040,-5.550682067871094,27.803527069091796
1186,73.6938775510204,3,107.30717620408164,3611,49,0.03,1.5233511924743652,0.10405759513378143,70200,-3.8187193870544434,25.48389434814453
1189,72.36,3,105.12270302,3618,50,0.03,0.207247793674469,0.11567660421133041,70340,-5.860082626342773,25.056352043151854
1191,71.09803921568627,3,103.04549200000001,3626,51,0.03,-1.43792724609375,0.1272057741880417,70500,-6.314675331115723,22.26349096298218
1195,69.92307692307692,3,101.09116505769232,3636,52,0.03,-0.4267488718032837,0.12042584270238876,70700,-8.803862571716309,26.705235862731932
1197,68.73584905660377,3,99.14709009433963,3643,53,0.03,-1.481184959411621,0.11078175902366638,70840,-7.506160736083984,22.75559091567993
1200,67.62962962962963,3,97.29940981481484,3652,54,0.03,-1.3129194974899292,0.09544339030981064,71020,-7.935585975646973,20.63059334754944
1203,66.56363636363636,3,95.52741185454548,3661,55,0.03,0.32470571994781494,0.08584602922201157,71200,-8.083512306213379,22.189822244644166
1205,65.51785714285714,3,93.80277351785715,3669,56,0.03,-0.5575222969055176,0.08470798283815384,71360,-7.434189796447754,21.10255913734436
1208,64.49122807017544,3,92.12195749122807,3676,57,0.03,0.9751197695732117,0.08434414863586426,71500,-5.895132064819336,24.08346219062805
1210,63.5,3,90.4938112413793,3683,58,0.03,1.6069839000701904,0.08919394761323929,71640,-6.996914386749268,21.809818172454833
1213,62.54237288135593,3,88.92539062711863,3690,59,0.03,-0.12081801891326904,0.10268216580152512,71780,-7.940951347351074,21.153547620773317
1216,61.68333333333333,3,87.48468168333332,3701,60,0.03,-0.7174112796783447,0.10939730703830719,72000,-5.181150436401367,21.340838718414307
1219,60.78688524590164,3,86.00674101639343,3708,61,0.03,-1.73494291305542,0.10113824903964996,72140,-7.624699592590332,20.66962275505066
1222,59.95161290322581,3,84.61608451612902,3717,62,0.03,0.6609624624252319,0.08670531958341599,72320,-7.540366172790527,19.56993670463562
1225,59.15873015873016,3,83.29301806349206,3727,63,0.03,1.1116528511047363,0.08583923429250717,72520,-9.969856262207031,19.06719651222229
1227,58.34375,3,81.9684608125,3734,64,0.03,0.6622639298439026,0.09365656971931458,72660,-5.564769744873047,19.988953256607054
1230,57.58461538461538,3,80.71705387692307,3743,65,0.03,0.4079417884349823,0.1116700991988182,72840,-8.650283813476562,21.71900043487549
1233,56.833333333333336,3,79.47128660606062,3751,66,0.03,0.4765201807022095,0.12065071612596512,73000,-8.834446907043457,18.42622561454773
1237,56.16417910447761,3,78.31956301492538,3763,67,0.03,-1.2874069213867188,0.11415117979049683,73240,-9.492629051208496,24.729473114013672
1240,55.48529411764706,3,77.17833763235295,3773,68,0.03,-0.8185365200042725,0.09503752738237381,73440,-10.82516098022461,19.37335090637207
1243,54.79710144927536,3,76.04687279710146,3781,69,0.03,2.5720911026000977,0.08297393471002579,73600,-12.24911880493164,23.053550243377686
1245,54.114285714285714,3,74.93916448571429,3788,70,0.03,2.2402563095092773,0.08592025190591812,73740,-11.982097625732422,22.436341524124146
1249,53.521126760563384,3,73.91831933802817,3800,71,0.03,-0.007845774292945862,0.10315284132957458,73980,-9.380241394042969,23.04666862487793
1253,52.93055555555556,3,72.91981815277778,3811,72,0.03,0.41975679993629456,0.1048862636089325,74200,-11.871994018554688,20.32919511795044
1256,52.342465753424655,3,71.93148678082193,3821,73,0.03,-1.3246431350708008,0.09626540541648865,74400,-15.611632347106934,15.897586393356324
1260,51.78378378378378,3,70.98510477027027,3832,74,0.03,-1.4973137378692627,0.0806339830160141,74620,-14.645753860473633,14.816728496551514
1263,51.21333333333333,3,70.03621213333334,3841,75,0.03,1.0912729501724243,0.07114306837320328,74800,-13.521011352539062,13.78429193496704
1266,50.671052631578945,3,69.13022355263158,3851,76,0.03,0.5689257383346558,0.07664292305707932,75000,-14.654472351074219,15.63082766532898
1269,50.103896103896105,3,68.20919135064935,3858,77,0.03,-0.7681042551994324,0.0830027237534523,75140,-17.559188842773438,20.17741479873657
1273,49.6025641025641,3,67.36444246153846,3869,78,0.03,-0.5920218825340271,0.08197840303182602,75360,-16.188804626464844,18.05684361457825
1275,49.075949367088604,3,66.49901583544303,3877,79,0.03,-0.7821459174156189,0.0762137770652771,75520,-16.044721603393555,17.268991947174072
1280,48.65,3,65.7193128875,3892,80,0.03,-1.127282738685608,0.06537646800279617,75820,-14.917745590209961,18.565882205963135
1283,48.17283950617284,3,64.9279754691358,3902,81,0.03,0.32143449783325195,0.06050316244363785,76020,-17.195680618286133,17.879754257202148
1288,47.74390243902439,3,64.1710798292683,3915,82,0.03,-0.9171112179756165,0.06071872264146805,76280,-13.772265434265137,14.241038990020751
1292,47.325301204819276,3,63.417484253012056,3928,83,0.03,-0.3249345123767853,0.05714072659611702,76540,-14.892426490783691,15.5780668258667
1295,46.88095238095238,3,62.67855598809524,3938,84,0.03,2.019336223602295,0.054276566952466965,76740,-15.172659873962402,14.202300643920898
1299,46.470588235294116,3,61.969201870588236,3950,85,0.03,0.46931713819503784,0.062322404235601425,76980,-17.31768798828125,34.662960624694826
1304,46.093023255813954,3,61.27566462790698,3964,86,0.03,0.5997603535652161,0.07131372392177582,77260,-18.286548614501953,34.426331520080566
1308,45.724137931034484,3,60.60032725287357,3978,87,0.03,0.5307057499885559,0.07220179587602615,77540,-17.150630950927734,24.726176071166993
1312,45.34090909090909,3,59.92915838636364,3990,88,0.03,-1.6687049865722656,0.06902461498975754,77780,-18.949771881103516,28.077777433395386
1317,44.97752808988764,3,59.28449456179776,4003,89,0.03,1.3068921566009521,0.05925512686371803,78040,-19.62729263305664,24.226238918304443
1321,44.611111111111114,3,58.63402381111112,4015,90,0.03,0.4774492383003235,0.06316857039928436,78280,-20.407054901123047,19.46800079345703
1325,44.252747252747255,3,58.0199726923077,4027,91,0.03,0.13723498582839966,0.0735849067568779,78520,-18.39784049987793,20.13753299713135
1329,43.91304347826087,3,57.41273472826088,4040,92,0.03,-2.968122720718384,0.07042953372001648,78780,-19.087783813476562,24.464033079147338
1333,43.58064516129032,3,56.82901976344087,4053,93,0.03,-1.1872884035110474,0.05670558661222458,79040,-16.284738540649414,18.69384708404541
1337,43.234042553191486,3,56.24163371276596,4064,94,0.03,1.8026372194290161,0.05811476707458496,79260,-19.390064239501953,20.990697145462036
1340,42.89473684210526,3,55.6562474631579,4075,95,0.03,0.908216118812561,0.07146948575973511,79480,-22.013229370117188,17.289171934127808
1344,42.572916666666664,3,55.10263347916666,4087,96,0.03,-1.2206906080245972,0.07549513131380081,79720,-20.30957794189453,20.536007833480834
