rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
105.54117647058824,4,1947,8971,85,177.9315639529412,177400,0.003,401608.6640625,98.73956642150878,-17894.31640625,0.2708828687667847
106.30232558139535,4,1985,9142,86,179.4163038023256,180820,0.003,300735.02109375,103.25991897583008,-18619.428515625,-0.02888283394277096
106.40229885057471,4,2009,9257,87,179.9053634137931,183120,0.003,262016.92421875,98.0674430847168,-18693.15419921875,0.14182763434946538
106.57954545454545,4,2036,9379,88,181.19484596590908,185560,0.003,242733.09765625,90.72519493103027,-17640.04521484375,-0.3636522933840752
106.42696629213484,4,2057,9472,89,181.05137138202244,187420,0.003,272213.8828125,101.9565601348877,-17476.724609375,-0.020793317258358
107.36666666666666,4,2099,9663,90,182.6060407222222,191240,0.003,208242.109375,79.87253761291504,-15887.4203125,0.01670005954802036
107.91208791208791,4,2132,9820,91,184.04411581318678,194380,0.003,163842.693359375,74.84748764038086,-14345.2810546875,0.6239644899964333
108.29347826086956,4,2161,9963,92,184.76456461956516,197240,0.003,172719.05078125,66.55484123229981,-12721.033203125,-0.08186592757701874
108.46236559139786,4,2189,10087,93,184.53739330107524,199720,0.003,165769.92109375,70.2901382446289,-12206.486328125,-0.44124438762664797
109.35106382978724,4,2231,10279,94,186.39562870212765,203560,0.003,185886.33046875,76.28254776000976,-11816.586669921875,-0.616468808054924
108.6842105263158,4,2241,10325,95,184.58674138947367,204480,0.003,190100.28046875,78.40105934143067,-11781.72548828125,-0.416093609854579
115.98958333333333,4,2421,11135,96,193.1820951354167,220680,0.003,117960.723828125,73.1394760131836,-12704.744677734376,-0.009642741084098816
115.36082474226804,4,2432,11190,97,192.05916425773196,221780,0.003,123576.654296875,68.73671264648438,-12863.115576171875,-0.18844315633177758
115.04081632653062,4,2451,11274,98,191.43130055102043,223460,0.003,154377.01484375,69.43156242370605,-12995.658935546875,1.238120985776186
116.16161616161617,4,2502,11500,99,192.93043206060608,227980,0.003,195807.47890625,66.34430389404297,-13373.89423828125,0.4442533075809479
115.11,4,2505,11511,100,191.10669764000002,228200,0.003,198955.09375,64.1945701599121,-13321.3341796875,0.07155369445681573
115.57,4,2518,11570,101,191.97042651,229380,0.003,186609.65,66.58212356567383,-13096.129052734375,-0.13970112502574922
116.34,4,2544,11690,102,194.37669199999996,231780,0.003,163412.6140625,58.34658031463623,-12631.982861328124,-0.06278632432222367
117.96,4,2582,11873,103,197.70703715000002,235440,0.003,117333.638671875,49.52648391723633,-11546.021826171875,-0.18155800327658653
119.56,4,2619,12047,104,201.09043265000003,238920,0.003,88556.681640625,48.04476108551025,-10717.3423828125,-0.06389646045863628
123.47,4,2708,12452,105,206.55061222999996,247020,0.003,73778.8759765625,45.24765605926514,-9738.483544921875,-0.398273142427206
126.47,4,2776,12762,106,211.60186045000003,253220,0.003,87096.270703125,57.51301784515381,-10259.74912109375,-0.4575650356709957
127.04,4,2792,12838,107,213.09403129999998,254740,0.003,85183.3046875,56.047285842895505,-10782.3609375,0.1935071412473917
126.55,4,2801,12875,108,212.49085481000003,255480,0.003,88145.3171875,53.732296752929685,-10898.773095703125,-0.10751775577664376
126.38,4,2811,12919,109,212.00042145,256360,0.003,97530.581640625,49.11435604095459,-11033.837744140625,0.034986402839422226
126.21,4,2822,12970,110,211.44841403999996,257380,0.003,113238.128125,49.008809661865236,-11048.948876953125,-0.41898280903697016
126.7,4,2862,13152,111,212.91583542999996,261020,0.003,65008.675390625,37.25763626098633,-10439.463623046875,0.09765249267220497
130.53,4,2947,13554,112,218.41236087999997,269060,0.003,74383.073046875,40.87013893127441,-8911.51650390625,-0.007838021218776702
132.02,4,3004,13813,113,220.79059841000003,274240,0.003,222891.546875,46.90263957977295,-10064.3822265625,-0.12665013819932938
132.89,4,3040,13973,114,222.64529385999998,277440,0.003,346428.215625,54.06497783660889,-12948.42099609375,-0.3060924746096134
134.75,4,3102,14236,115,225.00842640000002,282700,0.003,602389.7890625,123.5162296295166,-21256.7728515625,0.6982768028974533
135.24,4,3136,14388,116,226.04639925,285740,0.003,703818.0578125,145.50809555053712,-28767.31435546875,0.8466444917023181
135.23,4,3165,14520,117,226.4550242,288380,0.003,837239.75625,134.0185745239258,-32899.69619140625,-0.15031269732862712
134.95,4,3192,14648,118,226.60123622999998,290940,0.003,669746.84375,112.06464080810547,-34161.9248046875,0.07985284104943276
135.08,4,3217,14768,119,226.50253883000002,293340,0.003,652543.8671875,124.90599784851074,-33776.78173828125,0.3674702480435371
136.05,4,3240,14878,120,228.67909904,295540,0.003,567315.925,126.37654342651368,-34444.023046875,0.11883580088615417
137.6,4,3277,15052,121,231.52753291000002,299020,0.003,595409.209375,122.06337509155273,-35030.3,0.3026769235730171
139.04,4,3311,15206,122,234.12594542,302100,0.003,577391.1109375,108.47690811157227,-35398.3431640625,0.17051259875297547
140.33,4,3343,15355,123,237.09768419,305080,0.003,516407.146875,113.65088806152343,-35436.91015625,0.10600573644042015
142.8,4,3401,15622,124,241.62520697,310420,0.003,426080.3359375,92.19149246215821,-32548.39599609375,0.7322863169014454
144.35,4,3438,15795,125,245.07073043,313880,0.003,383474.4984375,108.7731258392334,-30835.28759765625,-0.09335799887776375
145.69,4,3475,15954,126,248.01729586000002,317060,0.003,274463.56484375,72.03815879821778,-28075.38994140625,0.7794018685817719
145.22,4,3488,16009,127,247.90791072,318160,0.003,273290.62734375,64.66714591979981,-26694.77451171875,0.12976525202393532
145.51,4,3538,16239,128,248.78272884999998,322760,0.003,270884.8046875,69.59479560852051,-24384.87568359375,0.5230005748569966
145.52,4,3569,16377,129,248.84886904999996,325520,0.003,199967.328125,48.91639289855957,-21656.32998046875,-0.39294738993048667
141.9,4,3591,16483,130,245.83212092999995,327640,0.003,185501.2140625,58.941958808898924,-19932.7228515625,0.5274269163608551
145.09,4,3728,17097,131,249.49923991,339920,0.003,124920.30625,45.25517349243164,-14991.74833984375,0.06941842548549175
142.94,4,3764,17269,132,248.35395613999998,343360,0.003,97170.61171875,30.909889507293702,-13756.4861328125,-0.016491465270519257
143.54,4,3824,17543,133,250.31020359,348840,0.003,91267.928515625,36.07596435546875,-11859.321630859375,0.4800132945179939
143.91,4,3852,17673,134,250.17454406999994,351440,0.003,69000.621484375,33.83957309722901,-11582.75908203125,0.6586196660995484
