time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
3,111.14460573913044,558,2041,23,88.73913043478261,-0.09852719306945801,38800,0.18123763799667358,17.452440428733826,-166.12794494628906,0.03
3,118.00955541666667,606,2209,24,92.04166666666667,-1.5959296226501465,42160,0.16561490297317505,18.220078921318056,-171.17874145507812,0.03
3,124.79689008000001,649,2361,25,94.44,-0.3113168179988861,45200,0.1458473652601242,9.004208779335022,-179.43724060058594,0.03
3,132.3389470769231,702,2542,26,97.76923076923077,-0.09822079539299011,48820,0.12665465474128723,5.115615499019623,-172.73898315429688,0.03
3,143.4364339259259,788,2835,27,105.0,0.16942811012268066,54680,0.08778035640716553,11.761603403091431,-179.3625946044922,0.03
3,147.49649982142859,827,2977,28,106.32142857142857,0.9687271118164062,57520,0.10690220445394516,11.005088376998902,-185.2330322265625,0.03
3,150.40409282758623,861,3098,29,106.82758620689656,-0.27862828969955444,59940,0.1293269842863083,6.694255709648132,-179.76138305664062,0.03
3,154.6357362,902,3243,30,108.1,2.2450661659240723,62840,0.09938664734363556,5.918359494209289,-181.99111938476562,0.03
3,159.37875877419356,946,3400,31,109.6774193548387,-0.20260845124721527,65980,0.16274210810661316,11.850835490226746,-174.93263244628906,0.03
3,165.175373625,997,3582,32,111.9375,-1.5842851400375366,69620,0.10513459891080856,7.340541017055512,-176.74771118164062,0.03
3,172.8186318181818,1054,3782,33,114.60606060606061,6.832881450653076,73620,0.06712496280670166,6.324101758003235,-174.1204833984375,0.03
3,179.6828729117647,1130,4052,34,119.17647058823529,-3.8081862926483154,79020,0.10260087251663208,10.090586137771606,-172.07278442382812,0.03
3,184.79206799999997,1180,4228,35,120.8,-0.1458512246608734,82540,0.10216427594423294,9.354755091667176,-166.69766235351562,0.03
3,187.22959669444444,1220,4368,36,121.33333333333333,-0.5144438743591309,85340,0.08762482553720474,7.036120104789734,-167.71424865722656,0.03
3,191.13019843243242,1269,4544,37,122.8108108108108,2.1568570137023926,88860,0.07035040110349655,6.732972204685211,-168.17637634277344,0.03
3,194.44697931578946,1324,4736,38,124.63157894736842,-0.083437979221344,92700,0.09770103543996811,8.127838230133056,-161.6204376220703,0.03
3,198.18432464102563,1375,4920,39,126.15384615384616,-1.9174602031707764,96380,0.12131083756685257,9.416205096244813,-157.42596435546875,0.03
3,200.96215402499996,1424,5091,40,127.275,-3.193359375,99800,0.12516933679580688,10.132770800590515,-163.39141845703125,0.03
