time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
4543,20726,130,252.05794925000006,4,188.07,-0.026535437256097794,0.003,412500,-4028.4168334960937,8626.452294921875,8.484154987335206
4588,20932,131,252.48374171000006,4,189.24,-0.5296899111941457,0.003,416620,-4111.440185546875,11322.251342773438,10.800639104843139
4639,21155,132,254.38239568,4,190.82,-0.3527572095394135,0.003,421080,-4751.280444335937,11477.5529296875,9.700711011886597
4643,21169,133,253.32338016000003,4,190.2,0.2733498316258192,0.003,421360,-4730.097973632813,11236.44853515625,9.748533296585084
4675,21309,134,252.91462855999998,4,190.32,-0.02905040867626667,0.003,424160,-4868.319091796875,10185.553857421875,8.720305347442627
4826,21996,135,260.34707619,4,196.47,-0.10122891664505004,0.003,437900,-7468.019067382813,16199.683203125,17.70484027862549
4829,22012,136,257.30456256,4,194.6,0.05833747759461403,0.003,438220,-7522.18212890625,17320.6751953125,16.66363706588745
4841,22064,137,254.08447755999998,4,191.24,0.03327709063887596,0.003,439260,-7431.02216796875,15002.2357421875,14.583230447769164
4862,22157,138,254.73056404,4,191.6,0.12402317337691784,0.003,441120,-7135.235693359375,16359.688232421875,13.532277536392211
4934,22480,139,258.20885801000003,4,193.61,0.38750561624765395,0.003,447580,-7672.407006835938,34939.76357421875,20.361988639831544
4950,22551,140,258.9532702,4,194.01,0.07058720737695694,0.003,449000,-8089.644555664063,31049.6755859375,28.085334396362306
4975,22664,141,256.67502652,4,191.47,0.043955922871828076,0.003,451260,-8975.61728515625,30101.725,23.867597675323488
5011,22829,142,256.04224237000005,4,191.18,-0.2474113680422306,0.003,454560,-8634.91201171875,22732.3259765625,13.028064966201782
5048,22997,143,254.43989415000004,4,190.28,-0.38305433876812456,0.003,457920,-7874.087353515625,32941.58330078125,14.158076906204224
5123,23336,144,258.88407708,4,193.02,0.18856250271201133,0.003,464700,-9405.66806640625,45363.07373046875,17.83064785003662
5151,23458,145,260.97440864,4,193.87,0.043604939430952075,0.003,467140,-9302.336181640625,31673.42255859375,18.261450862884523
5192,23637,146,263.67862179,4,194.89,0.14861911293119193,0.003,470720,-9102.94970703125,27051.62001953125,17.685419178009035
5226,23793,147,265.38422444,4,195.65,0.04448661394417286,0.003,473840,-9058.260791015626,25731.21875,15.531097173690796
5270,23983,148,262.48357964999997,4,192.42,-0.011616922914981842,0.003,477640,-8796.115576171875,24182.91240234375,16.1214759349823
5306,24150,149,262.61980265,4,192.56,0.09548571854829788,0.003,480980,-8520.515649414063,22338.48623046875,15.64241623878479
5328,24244,150,262.10146101,4,192.52,-0.30279554463922975,0.003,482860,-8243.541235351562,21856.20302734375,13.422946310043335
5378,24478,151,263.46315327,4,193.62,-0.12004186734557151,0.003,487540,-7749.812353515625,24525.74326171875,13.614130067825318
5416,24649,152,263.18679919,4,194.34,-0.005744322389364243,0.003,490960,-7162.0021484375,28450.558544921874,11.977748155593872
5539,25205,153,269.60000015,4,199.36,0.364174884557724,0.003,502080,-7396.390698242188,24678.47763671875,20.0014666557312
5544,25224,154,269.09329734000005,4,198.81,0.05108424536883831,0.003,502460,-7446.55771484375,26085.06787109375,18.847883796691896
5690,25903,155,274.78497212,4,204.01,0.1202608473598957,0.003,516040,-7713.3212890625,27761.01923828125,17.005208587646486
5758,26211,156,275.41674535000004,4,204.23,-0.2681373134255409,0.003,522200,-8230.014697265626,28649.4853515625,17.053705883026122
5816,26477,157,278.15862153,4,206.39,0.01079546958208084,0.003,527520,-7686.384619140625,23580.91015625,12.211291790008545
5856,26656,158,276.31333824,4,206.49,-0.004497801139950752,0.003,531100,-7181.596142578125,29048.887890625,13.96070704460144
5868,26709,159,273.89903752000004,4,205.88,-0.3339757531881332,0.003,532160,-7114.346997070313,24347.14619140625,15.80137825012207
5878,26761,160,272.41601655,4,205.52,0.24785396233201026,0.003,533200,-7113.823901367187,27919.41796875,18.476648235321044
5890,26812,161,271.62708115000004,4,205.48,0.11994853876531124,0.003,534220,-7259.78720703125,31577.14951171875,23.457475852966308
5968,27170,162,272.46691164000003,4,208.16,0.06801042668521404,0.003,541380,-8509.7392578125,44054.3603515625,19.377885627746583
5992,27276,163,273.91815736,4,208.94,-0.23939306139945984,0.003,543500,-8710.95703125,47504.5236328125,17.080414485931396
6019,27394,164,272.72630422000003,4,208.73,-0.254463604837656,0.003,545860,-8812.9748046875,45181.4390625,22.667691898345947
6030,27438,165,271.63194398,4,208.16,-0.14188272319734097,0.003,546740,-8818.811474609374,44605.5470703125,20.919324111938476
6041,27483,166,268.5618384,4,206.91,0.5348664179444313,0.003,547640,-8649.8587890625,39088.1443359375,19.31468000411987
6052,27532,167,263.59354126000005,4,203.65,-0.04318620897829532,0.003,548620,-8670.2001953125,41439.88828125,16.70833396911621
6072,27624,168,259.64733684,4,201.49,0.13233350962400436,0.003,550460,-8587.3314453125,37900.21669921875,16.347106838226317
6287,28624,169,267.94762998000004,4,210.36,-0.026705143973231316,0.003,570460,-6524.501489257813,23365.20537109375,11.561905145645142
6332,28827,170,269.75968881999995,4,211.85,0.20620189048349857,0.003,574520,-6723.25263671875,21036.540234375,14.154070043563843
6344,28885,171,268.3489465,4,211.07,0.01838265620172024,0.003,575680,-6688.446264648437,21683.05302734375,12.132218503952027
6371,29005,172,267.95570914,4,210.89,-0.07893574014306068,0.003,578080,-6529.428662109375,21721.57060546875,10.432907867431641
6410,29198,173,265.06626450999994,4,207.83,0.01318294182419777,0.003,581940,-6208.2659912109375,22486.117578125,10.702224636077881
6431,29290,174,264.15370995,4,207.19,0.326861734688282,0.003,583780,-6068.53916015625,21165.989111328126,10.469166278839111
6461,29423,175,263.94495295999997,4,206.88,-0.03225600123405457,0.003,586440,-5894.290063476563,30862.02021484375,11.257719278335571
6483,29519,176,262.41525590000003,4,205.58,-0.24762962404638528,0.003,588360,-5887.374755859375,28075.87822265625,12.773187017440796
6510,29639,177,261.22630210000005,4,204.94,-0.5911245539784431,0.003,590760,-6743.439233398438,42833.43759765625,26.35748882293701
6592,30004,178,263.82979268,4,207.31,0.3528273837640882,0.003,598060,-8792.190869140624,45686.6763671875,17.93498239517212
6618,30122,179,264.0304067,4,207.38,0.3170663505792618,0.003,600420,-8634.634497070312,37995.6791015625,16.400390815734863
6658,30303,180,265.39720202000007,4,208.22,-0.7409999229013919,0.003,604040,-8496.729443359374,42021.88515625,18.265956783294676
6700,30495,181,265.93307196,4,208.98,0.08694383688271046,0.003,607880,-8049.9044921875,41840.210546875,13.52564697265625
6739,30683,182,267.73052132,4,210.03,0.01402907595038414,0.003,611640,-7476.4918212890625,30909.13779296875,12.22173089981079
6766,30812,183,268.72147188,4,210.26,-0.11786288321018219,0.003,614220,-7024.06083984375,27791.2513671875,11.568803977966308
6809,31000,184,269.21202142000004,4,211.0,0.145806285738945,0.003,617980,-6664.530737304687,29049.01162109375,17.591196250915527
7026,32000,185,275.23660363000005,4,219.71,0.20375426299870014,0.003,637980,-6736.056884765625,27657.1544921875,14.156451845169068
7047,32092,186,273.17425352000004,4,218.95,-0.13760371487587691,0.003,639820,-6769.998071289063,31316.819140625,15.542263984680176
7271,33092,187,282.64347437,4,227.84,0.13973831851035357,0.003,659820,-6163.52587890625,28620.311328125,12.707781410217285
7339,33390,188,285.0043537600001,4,229.67,-0.05178301855921745,0.003,665780,-5564.8380859375,27610.408984375,12.007006454467774
