time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates
4,246,-0.8862605263157897,12.947368421052632,19,51,-4.882833003997803,12.929011917114257,-2.5003421306610107,0.6610394716262817,0.03,2900
4,257,-0.9031072000000002,12.85,20,54,-4.945816993713379,6.894996380805969,-4.532068252563477,0.49144747853279114,0.03,3120
4,265,-0.9778116190476193,12.619047619047619,21,57,-4.497710227966309,5.120438063144684,-6.271517276763916,0.392486035823822,0.03,3280
4,309,0.6589450909090907,14.045454545454545,22,72,-3.8147244453430176,2.0120211362838747,-7.3010711669921875,0.12132576107978821,0.03,4160
3,700,22.929293956521743,30.434782608695652,23,204,-33.09349822998047,1.4797979056835175,1.5771753787994385,0.05995143577456474,0.03,11980
3,858,33.58675241666667,35.75,24,258,-46.164730072021484,5.5963933825492855,-1.3106231689453125,0.07749060541391373,0.03,15140
3,987,41.70538572,39.48,25,303,-56.17628479003906,7.879566335678101,0.45165109634399414,0.08589225262403488,0.03,17720
3,1149,51.40625119230769,44.19230769230769,26,359,-66.09007263183594,8.506953763961793,0.5951125621795654,0.1034364253282547,0.03,20960
3,1283,58.98675748148148,47.51851851851852,27,404,-73.35377502441406,13.448781394958496,0.3963887393474579,0.12665706872940063,0.03,23640
3,1426,66.47365175,50.92857142857143,28,454,-79.40763092041016,15.981590986251831,0.28934013843536377,0.13691063225269318,0.03,26500
3,1575,74.26526210344828,54.310344827586206,29,506,-76.15486145019531,19.930286693573,0.10745136439800262,0.13759203255176544,0.03,29480
3,1696,80.23620980000001,56.53333333333333,30,547,-71.50503540039062,26.621040439605714,1.2443770170211792,0.15447525680065155,0.03,31900
3,1791,83.87689706451613,57.774193548387096,31,579,-66.3183364868164,29.518281555175783,-1.1873047351837158,0.16748225688934326,0.03,33800
3,1921,89.40529356249999,60.03125,32,624,-62.228981018066406,33.0139663696289,-0.17045408487319946,0.21567672491073608,0.03,36400
3,2068,95.18605354545454,62.666666666666664,33,674,-49.05982208251953,21.11238145828247,0.11756014823913574,0.2164020985364914,0.03,39340
3,2338,103.72154085294116,68.76470588235294,34,765,-43.09062194824219,17.736305809020998,-0.5001021027565002,0.13201895356178284,0.03,44740
3,2479,108.65922214285713,70.82857142857142,35,812,-37.74230194091797,16.24297685623169,-0.5604798793792725,0.13914111256599426,0.03,47560
3,2633,113.63274799999999,73.13888888888889,36,863,-37.2277717590332,14.713192415237426,0.2764926850795746,0.12204057723283768,0.03,50640
3,2770,117.76344070270268,74.86486486486487,37,908,-38.69367218017578,15.720055770874023,-0.29773473739624023,0.1416228711605072,0.03,53380
3,2929,122.3490621578947,77.07894736842105,38,962,-36.637428283691406,12.720683908462524,0.09220521152019501,0.13928893208503723,0.03,56560
3,3088,127.09985325641024,79.17948717948718,39,1015,-44.72224426269531,11.369810009002686,-0.3552497327327728,0.116853266954422,0.03,59740
3,3299,132.54165845,82.475,40,1085,-43.26382827758789,17.017991876602174,0.21925663948059082,0.11755018681287766,0.03,63960
3,3427,135.60847614634147,83.58536585365853,41,1127,-45.00701141357422,18.06382026672363,-0.31333059072494507,0.12027651816606522,0.03,66520
3,3566,138.90208038095238,84.9047619047619,42,1173,-52.04597473144531,19.596362829208374,0.965320885181427,0.12364934384822845,0.03,69300
3,3737,142.90588393023256,86.90697674418605,43,1231,-47.898868560791016,32.22094459533692,0.03541284799575806,0.13738219439983368,0.03,72720
3,3868,145.63877386363637,87.9090909090909,44,1275,-51.260406494140625,19.9345365524292,1.1640807390213013,0.11771305650472641,0.03,75340
3,4005,148.4540437777778,89.0,45,1320,-53.20408248901367,19.46739797592163,0.6261855959892273,0.11939370632171631,0.03,78080
3,4150,151.4959306521739,90.21739130434783,46,1367,-54.824668884277344,15.773887634277344,0.20800137519836426,0.1277468055486679,0.03,80980
3,4285,154.05316772340427,91.17021276595744,47,1411,-57.73468017578125,19.481197547912597,1.2877306938171387,0.11416973918676376,0.03,83680
3,4457,157.5226306875,92.85416666666667,48,1467,-58.31269073486328,20.591951990127562,0.03485900163650513,0.10827217996120453,0.03,87120
3,4598,160.02555955102042,93.83673469387755,49,1514,-57.15673828125,17.505432224273683,0.3145309090614319,0.11359762400388718,0.03,89940
3,4757,162.91854278,95.14,50,1566,-61.63103103637695,17.01551012992859,0.774370551109314,0.11071015149354935,0.03,93120
3,4898,165.1765537647059,96.03921568627452,51,1612,-59.09867477416992,19.564005899429322,0.4959053099155426,0.10629932582378387,0.03,95940
3,5043,167.56417571153847,96.98076923076923,52,1660,-64.26377868652344,15.918010997772218,-0.8000825643539429,0.12126220017671585,0.03,98840
3,5180,169.53907292452828,97.73584905660377,53,1706,-63.65424346923828,13.325038719177247,-0.1384812593460083,0.1006167009472847,0.03,101580
3,5327,171.79817253703706,98.64814814814815,54,1755,-62.85968017578125,15.604332780838012,0.7341330051422119,0.10827292501926422,0.03,104520
3,5468,173.77096296363638,99.41818181818182,55,1802,-60.13226318359375,17.210385656356813,0.6188454031944275,0.09823969751596451,0.03,107340
3,5609,175.62515857142856,100.16071428571429,56,1849,-64.2824478149414,12.832373857498169,-1.1155822277069092,0.1045927181839943,0.03,110160
3,5777,178.0032579473684,101.35087719298245,57,1905,-68.20979309082031,13.693271112442016,-0.5069304704666138,0.09764361381530762,0.03,113520
3,5928,180.01578075862068,102.20689655172414,58,1955,-69.21768188476562,12.115547513961792,-0.002440914511680603,0.09869217127561569,0.03,116540
3,6093,182.9710059152542,103.27118644067797,59,2010,-70.84178161621094,11.041271114349366,-1.5024113655090332,0.08915580809116364,0.03,119840
3,6240,184.76856786666664,104.0,60,2058,-68.22698974609375,10.644986033439636,-0.3874358534812927,0.09224950522184372,0.03,122780
3,6385,186.4156183606557,104.67213114754098,61,2107,-67.08609771728516,11.431335306167602,0.6197084188461304,0.09581107646226883,0.03,125680
3,6556,188.53526245161288,105.74193548387096,62,2163,-68.90526580810547,11.959491682052612,-2.5639781951904297,0.09846550971269608,0.03,129100
3,6722,191.32209426984124,106.6984126984127,63,2218,-69.66876220703125,9.851219391822815,-0.498896062374115,0.10118906199932098,0.03,132420
