time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates
4050,1419,2,88.04347826086956,46,122.09831808695654,12.95496940612793,0.03,0.11112567782402039,-48.03633117675781,0.10055644810199738,78980
4282,1503,2,91.1063829787234,47,128.75823078723406,15.852852821350098,0.03,0.11015268415212631,-53.210968017578125,-0.16453824937343597,83620
4491,1579,2,93.5625,48,134.6479988125,35.48957109451294,0.03,0.13470125198364258,-55.794105529785156,-1.2886466979980469,87800
4705,1656,2,96.0204081632653,49,140.36472540816325,16.299484634399413,0.03,0.13700462877750397,-56.336639404296875,-0.11392191797494888,92080
4913,1731,2,98.26,50,145.74185292,26.465187072753906,0.03,0.15903843939304352,-58.00090789794922,-0.5452644228935242,96240
5136,1812,2,100.70588235294117,51,151.2623448627451,19.875156307220458,0.03,0.13713297247886658,-58.247432708740234,0.9391494393348694,100700
5350,1889,2,102.88461538461539,52,156.35907959615386,46.267232704162595,0.03,0.1453351527452469,-57.7347412109375,-1.3664987087249756,104980
5555,1963,2,104.81132075471699,53,161.13529579245284,20.39822425842285,0.03,0.12317289412021637,-59.49476623535156,1.0078774690628052,109080
5766,2039,2,106.77777777777777,54,165.85952264814816,15.908557844161987,0.03,0.1259433925151825,-68.94264221191406,0.9419482946395874,113300
5983,2118,2,108.78181818181818,55,170.48533207272726,29.35619201660156,0.03,0.12785841524600983,-68.75685119628906,0.13739672303199768,117640
6178,2189,2,110.32142857142857,56,174.53894610714286,13.85624713897705,0.03,0.10304255038499832,-70.38845825195312,-0.6917246580123901,121540
6365,2255,2,111.66666666666667,57,178.3079042631579,12.802292251586914,0.03,0.12031801789999008,-73.46354675292969,-0.26306989789009094,125280
6554,2323,2,113.0,58,181.94043436206897,20.23638710975647,0.03,0.118883416056633,-74.8748779296875,0.07893005013465881,129060
6763,2400,2,114.62711864406779,59,185.84553927118645,11.385629081726075,0.03,0.09055013209581375,-73.14362335205078,0.5881621837615967,133240
6969,2475,2,116.15,60,189.54662236666667,11.41722412109375,0.03,0.09667684137821198,-72.10841369628906,-0.03995561599731445,137360
