rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate
94.34518406666668,3474,77.2,4,45,744,474.63890686035154,-807.8893829345703,0.028990297019481658,67460,6.230212616920471,0.003
96.94687693478262,3581,77.84782608695652,4,46,768,602.434178161621,-906.0495819091797,0.2593833852559328,69600,6.568563103675842,0.003
99.44285053191491,3687,78.44680851063829,4,47,791,676.6378204345704,-1013.0497375488281,-0.09290919546037912,71720,7.809247064590454,0.003
102.52561764583334,3811,79.39583333333333,4,48,819,551.9086837768555,-1120.855078125,-0.21820141598582268,74200,7.4131267786026,0.003
106.25677457142858,3947,80.55102040816327,4,49,850,640.8638473510742,-1135.9833129882813,0.17647492811083793,76920,7.672758555412292,0.003
111.08909376,4140,82.8,4,50,891,763.10859375,-1131.418878173828,-0.1297429244965315,80780,7.421390724182129,0.003
109.41409925490196,4159,81.54901960784314,4,51,894,708.8945617675781,-1140.1411987304687,0.21436464805155991,81160,7.9791645288467405,0.003
109.5463486153846,4235,81.4423076923077,4,52,910,1008.9038452148437,-1124.8652282714843,0.11518753804266453,82680,6.730293321609497,0.003
108.42425507547169,4305,81.22641509433963,4,53,925,884.1790252685547,-1088.0314819335938,0.06829454582184553,84080,6.8440358400344845,0.003
106.62811661111111,4341,80.38888888888889,4,54,933,852.0444274902344,-1086.138427734375,-0.029071633704006672,84800,7.152889847755432,0.003
104.80161905454545,4371,79.47272727272727,4,55,939,818.4576263427734,-1087.8207885742188,-0.09045864641666412,85400,8.113091850280762,0.003
103.03242969642858,4391,78.41071428571429,4,56,944,1005.0593963623047,-1088.0497619628907,-0.058732271939516065,85800,8.619965076446533,0.003
101.38886587719298,4418,77.50877192982456,4,57,950,875.577749633789,-1088.9444274902344,0.15805214829742908,86340,8.123108386993408,0.003
100.20410227586207,4474,77.13793103448276,4,58,963,761.8618957519532,-1076.323748779297,-0.32398490644991396,87460,7.466962218284607,0.003
103.64063235593221,4710,79.83050847457628,4,59,1015,972.5081115722656,-1125.0034973144532,-0.01542808823287487,92180,8.520882511138916,0.003
105.95583963333334,4872,81.2,4,60,1052,1181.1355407714843,-1221.7604431152345,-0.06276801861822605,95420,9.010922193527222,0.003
106.38799742622952,4974,81.54098360655738,4,61,1074,1508.398614501953,-1268.7572875976562,0.14256226159632207,97460,9.213587236404418,0.003
106.05382316129032,5051,81.46774193548387,4,62,1092,1814.5612854003907,-1335.9844665527344,0.05354054942727089,99000,9.439720916748048,0.003
104.86009526984127,5081,80.65079365079364,4,63,1099,2107.4268432617187,-1382.0876342773438,0.1594662841409445,99600,10.27228603363037,0.003
103.66784334375001,5120,80.0,4,64,1108,2210.9411193847654,-1461.8836608886718,-0.06459878031164408,100380,10.751892518997192,0.003
102.40568420000001,5150,79.23076923076923,4,65,1114,2847.8688842773436,-1501.4622375488282,0.24087714441120625,100980,11.890492963790894,0.003
101.0559677878788,5178,78.45454545454545,4,66,1120,2742.9441772460937,-1537.9040283203126,0.0020578986033797262,101540,12.04028549194336,0.003
99.74445292537314,5206,77.70149253731343,4,67,1126,2781.1112670898438,-1567.43251953125,0.34026498422026635,102100,12.868328094482422,0.003
98.86755636764707,5270,77.5,4,68,1141,2630.402941894531,-1645.6461181640625,0.16272156909108162,103380,12.144579362869262,0.003
97.89958326086956,5328,77.21739130434783,4,69,1154,3464.171875,-1732.2466979980468,0.3136272899806499,104540,13.600867128372192,0.003
97.87572758571429,5468,78.11428571428571,4,70,1184,5232.707446289062,-2165.5651611328126,0.14509160798043014,107340,18.444531631469726,0.003
98.34276225352113,5555,78.2394366197183,4,71,1204,5344.7510986328125,-2479.2704345703123,-0.01615593582391739,109080,20.325243186950683,0.003
99.216943,5747,79.81944444444444,4,72,1246,6584.368359375,-2725.4751708984377,-0.0291197594255209,112920,17.759189796447753,0.003
101.18236879452054,5876,80.4931506849315,4,73,1270,7260.500439453125,-2971.7055908203124,-0.2159913841634989,115500,20.686634159088136,0.003
100.89357856756756,5929,80.12162162162163,4,74,1281,6352.700366210937,-3041.7736694335936,0.13282463867217303,116560,21.383523178100585,0.003
103.2856692,6078,81.04,4,75,1314,6739.07265625,-3196.7919067382813,0.08113437183201314,119540,23.969247150421143,0.003
104.52587560526315,6166,81.13157894736842,4,76,1333,7433.190649414062,-3364.8723388671874,0.20910737290978432,121300,24.82807788848877,0.003
106.17228825974026,6271,81.44155844155844,4,77,1356,7352.334008789063,-3526.6498291015623,0.1074928317219019,123400,24.681071758270264,0.003
106.51447306410256,6347,81.37179487179488,4,78,1372,8729.00068359375,-3609.30625,0.14704652577638627,124920,25.034194660186767,0.003
106.94920822784809,6426,81.34177215189874,4,79,1390,10847.479858398438,-3645.887487792969,0.12291925810277463,126500,24.841732215881347,0.003
109.47069901249999,6585,82.3125,4,80,1426,9912.696044921875,-3700.7756469726564,-0.23942700773477554,129680,22.47326526641846,0.003
110.34016474074075,6715,82.90123456790124,4,81,1455,11730.43798828125,-3648.234326171875,0.3571694057434797,132280,22.354737758636475,0.003
110.70269950000001,6871,83.79268292682927,4,82,1488,14185.14599609375,-3626.680139160156,0.24315189234912396,135400,27.89183692932129,0.003
109.5880151807229,6915,83.3132530120482,4,83,1497,13368.80625,-3620.4731201171876,0.014999959617853165,136280,26.44981460571289,0.003
108.53449064285715,6963,82.89285714285714,4,84,1508,12579.0177734375,-3599.5772338867187,-0.25915774665772917,137240,25.662666034698486,0.003
107.45246341176471,7009,82.45882352941176,4,85,1517,12332.152001953125,-3561.1709838867187,-0.26466286592185495,138160,23.233739566802978,0.003
106.34613709302326,7047,81.94186046511628,4,86,1525,13607.157666015624,-3516.1817260742187,-0.0978449359536171,138920,25.80982608795166,0.003
105.17178029885056,7073,81.29885057471265,4,87,1531,13222.831884765625,-3504.768591308594,-0.23624590337276458,139440,25.699490356445313,0.003
104.03595913636363,7102,80.70454545454545,4,88,1537,14927.368017578125,-3467.0744140625,0.12232742980122566,140020,25.484018993377685,0.003
103.05688549438202,7146,80.29213483146067,4,89,1547,13702.194921875,-3412.145471191406,-0.011059866473078727,140900,24.95267496109009,0.003
102.2349643,7216,80.17777777777778,4,90,1563,13406.68544921875,-3332.6987182617186,-0.08760851845145226,142300,26.004286289215088,0.003
102.17248508791208,7354,80.81318681318682,4,91,1592,12346.922265625,-3373.4926513671876,-0.08969441018998622,145060,25.306626415252687,0.003
106.20231623913041,7699,83.68478260869566,4,92,1668,15065.985888671876,-3511.0675537109373,-0.2685087747871876,151960,26.626472568511964,0.003
107.47854209677416,7887,84.80645161290323,4,93,1711,19498.08046875,-3854.93486328125,-0.09502410180866719,155720,29.561068630218507,0.003
107.45951418085104,7947,84.54255319148936,4,94,1725,20491.45576171875,-3956.013330078125,0.0994911763817072,156920,27.56844778060913,0.003
110.21804171578945,8141,85.69473684210526,4,95,1766,27279.940625,-4267.3521728515625,0.3975320076569915,160800,32.806983947753906,0.003
109.59706411458332,8237,85.80208333333333,4,96,1787,32160.0970703125,-4517.770532226563,-0.23946205247193575,162720,35.09191627502442,0.003
110.72369964948453,8499,87.61855670103093,4,97,1843,39336.9408203125,-5076.944165039063,0.0550765298306942,167960,40.0345573425293,0.003
