time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
193,109.60280033333332,94.83333333333333,8,18,1707,0.15100573003292084,-0.5066192150115967,0.003,7.8641624569892885,32120,-213.57180786132812
211,117.50279410526313,97.3157894736842,8,19,1849,0.15179240703582764,-1.0129297971725464,0.003,2.8633726716041563,34960,-221.24520874023438
231,126.03433154999998,100.2,8,20,2004,0.14334352314472198,0.2806840240955353,0.003,6.388219279050827,38060,-228.45193481445312
250,133.06257361904758,102.28571428571429,8,21,2148,0.1439768671989441,-0.691605806350708,0.003,1.6980528593063355,40940,-234.3196258544922
264,137.22953727272724,103.0,8,22,2266,0.14032068848609924,-0.45929640531539917,0.003,2.2104696393013,43300,-240.41424560546875
283,143.1170483043478,105.30434782608695,8,23,2422,0.14111396670341492,-0.7365456223487854,0.003,2.5582866072654724,46420,-245.673583984375
301,148.01536862499998,107.125,8,24,2571,0.1394961029291153,-1.155178189277649,0.003,1.7557386457920074,49400,-251.0015869140625
320,153.09361167999998,109.28,8,25,2732,0.14331011474132538,0.18450680375099182,0.003,2.386337035894394,52620,-259.4893798828125
333,154.77037503846154,109.5,8,26,2847,0.14840398728847504,-0.5646435022354126,0.003,6.577171766757965,54920,-262.93701171875
352,159.3146491111111,111.44444444444444,8,27,3009,0.1375483125448227,-0.3180578947067261,0.003,2.0827593564987184,58160,-265.0657653808594
364,160.75561360714283,111.21428571428571,8,28,3114,0.1308765560388565,0.10552294552326202,0.003,2.1373230516910553,60260,-269.73663330078125
380,163.3642288965517,112.0,8,29,3248,0.12812183797359467,0.022081837058067322,0.003,4.276399922370911,62940,-270.0091552734375
396,166.37621776666666,112.76666666666667,8,30,3383,0.1259014755487442,0.6549835801124573,0.003,3.6309760332107546,65640,-267.1586608886719
415,170.34335887096773,114.38709677419355,8,31,3546,0.12196006625890732,-0.6276788115501404,0.003,2.6037303626537325,68900,-268.05096435546875
428,171.0868265,114.15625,8,32,3653,0.11224066466093063,0.6863453984260559,0.003,2.358471292257309,71040,-263.7837219238281
456,176.92104842424243,117.81818181818181,8,33,3888,0.10637987405061722,0.03693947196006775,0.003,3.27798644900322,75740,-261.9423828125
476,180.5997639117647,119.17647058823529,8,34,4052,0.10629207640886307,0.575372576713562,0.003,3.94002543091774,79020,-264.9869384765625
481,175.91586914285713,116.91428571428571,8,35,4092,0.10655468702316284,0.8255773782730103,0.003,6.23629595041275,79820,-265.916259765625
497,177.31768830555555,117.27777777777777,8,36,4222,0.10664094239473343,0.8696008920669556,0.003,5.2575156688690186,82420,-263.9334411621094
508,177.22892286486484,116.83783783783784,8,37,4323,0.11155866831541061,-0.6047406196594238,0.003,3.6954506516456602,84440,-263.9549560546875
527,180.24158713157894,117.78947368421052,8,38,4476,0.12027835100889206,0.2593514323234558,0.003,2.480693817138672,87500,-268.9039306640625
542,181.76661912820515,118.12820512820512,8,39,4607,0.10699903219938278,1.076123595237732,0.003,13.82524470090866,90120,-268.1561279296875
570,185.815388125,120.95,8,40,4838,0.1100039854645729,-0.12123218178749084,0.003,2.7210779905319216,94740,-272.3917541503906
583,186.78877746341465,120.82926829268293,8,41,4954,0.11538201570510864,-1.2708947658538818,0.003,2.9411157965660095,97060,-270.7638854980469
597,183.44873690476192,120.85714285714286,8,42,5076,0.1167120411992073,0.5956387519836426,0.003,4.07920982837677,99500,-265.3790283203125
615,185.49549239534883,121.6046511627907,8,43,5229,0.13022471964359283,-0.4038231074810028,0.003,5.458325219154358,102560,-270.0250244140625
630,186.87443725,121.75,8,44,5357,0.1280934065580368,-0.5216159820556641,0.003,3.2844163179397583,105120,-274.5091552734375
645,188.26975351111108,122.02222222222223,8,45,5491,0.12628716230392456,-0.25438523292541504,0.003,7.9959614992141725,107800,-269.959716796875
665,190.5699183043478,123.04347826086956,8,46,5660,0.12427252531051636,0.12888628244400024,0.003,4.16206830739975,111180,-270.6325988769531
680,191.88012225531915,123.14893617021276,8,47,5788,0.12266118079423904,-0.1794893890619278,0.003,9.629796659946441,113740,-270.73138427734375
703,195.84671216666666,124.97916666666667,8,48,5999,0.11720585823059082,-0.2519091069698334,0.003,8.563853025436401,117960,-270.36712646484375
732,199.1453065510204,127.6938775510204,8,49,6257,0.11824101209640503,1.4656213521957397,0.003,4.584801840782165,123120,-275.46826171875
