rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
137.26470588235293,34,528,4667,200.99613270588236,8,0.7854372262954712,0.1720842719078064,23.257998132705687,91320,-250.00070190429688,0.03
138.0,35,547,4830,203.96494717142858,8,-1.3905589580535889,0.19791007041931152,28.075216484069824,94580,-250.7262420654297,0.03
139.75,36,570,5031,209.22796052777778,8,-0.9124786257743835,0.22436904907226562,33.33178071975708,98600,-247.05010986328125,0.03
141.27027027027026,37,592,5227,213.98251870270272,8,-0.3063506484031677,0.2011842578649521,36.569503211975096,102520,-238.6988067626953,0.03
141.76315789473685,38,611,5387,216.4708518421053,8,-0.7488665580749512,0.20278620719909668,39.65708246231079,105720,-225.66619873046875,0.03
144.10256410256412,39,638,5620,221.49755112820517,8,-1.6805977821350098,0.1605232208967209,18.614159440994264,110380,-222.65576171875,0.03
148.725,40,677,5949,227.52892462499995,8,0.7894362211227417,0.1323218047618866,13.413734579086304,116960,-199.61068725585938,0.03
156.34146341463415,41,731,6410,239.27643034146337,8,-1.2093613147735596,0.12321580201387405,10.399264764785766,126180,-182.49745178222656,0.03
159.16666666666666,42,763,6685,238.53803088095233,8,-1.824209213256836,0.12389122694730759,12.429937934875488,131680,-166.45571899414062,0.03
169.34883720930233,43,831,7282,250.52853325581393,8,0.221943199634552,0.05153704807162285,7.091733050346375,143620,-137.51113891601562,0.03
172.13636363636363,44,864,7574,255.51735065909088,8,-1.4501426219940186,0.05178740620613098,5.967354083061219,149460,-137.63677978515625,0.03
172.7111111111111,45,887,7772,257.6703289111111,8,-3.436239719390869,0.07019785046577454,8.699462819099427,153420,-128.26336669921875,0.03
173.43478260869566,46,911,7978,261.84697563043477,8,-0.9479942321777344,0.06747853010892868,4.688585186004639,157540,-130.4526824951172,0.03
173.48936170212767,47,931,8154,264.28841795744677,8,-0.3028737008571625,0.06764789670705795,5.042943465709686,161060,-127.01907348632812,0.03
173.6875,48,952,8337,266.33355629166664,8,-2.1437435150146484,0.08403889834880829,4.917224895954132,164720,-122.60020446777344,0.03
173.57142857142858,49,971,8505,268.1071958571428,8,0.3807374835014343,0.07713499665260315,5.799762177467346,168080,-125.69488525390625,0.03
173.68,50,992,8684,270.13540978,8,0.8766814470291138,0.07100584357976913,5.220963037014007,171660,-122.33139038085938,0.03
