rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
150.00957595652176,358,128.8695652173913,2964,8,23,0.003,57260,0.17415618896484375,-246.59532165527344,1.9803010940551757,-0.2536574900150299
153.93537625,374,129.08333333333334,3098,8,24,0.003,59940,0.1720447689294815,-249.99411010742188,2.8741475224494932,-0.5032658576965332
160.39961412,397,131.28,3282,8,25,0.003,63620,0.1486712098121643,-245.98330688476562,3.924118149280548,-0.6833277344703674
164.0354924230769,412,131.23076923076923,3412,8,26,0.003,66220,0.1402900367975235,-244.3313446044922,1.7154666781425476,-0.05795937776565552
168.96434744444443,430,132.03703703703704,3565,8,27,0.003,69280,0.13694562017917633,-245.8550567626953,1.6739503979682921,0.3461504876613617
176.4515221428571,453,134.17857142857142,3757,8,28,0.003,73120,0.13054159283638,-244.0593719482422,16.2871332526207,0.5914201140403748
183.31042499999995,483,138.0,4002,8,29,0.003,78020,0.12570330500602722,-244.75119018554688,2.2244068801403047,-0.21048158407211304
190.77510776666662,510,140.56666666666666,4217,8,30,0.003,82320,0.13065478205680847,-243.66943359375,2.1998914778232574,-0.3920736312866211
197.73838509677415,535,142.93548387096774,4431,8,31,0.003,86600,0.13519877195358276,-242.10662841796875,2.020595407485962,-0.7366849184036255
202.1289175625,557,144.03125,4609,8,32,0.003,90160,0.1321936547756195,-243.38645935058594,1.839862835407257,-0.19399942457675934
196.78231415151512,563,141.24242424242425,4661,8,33,0.003,91200,0.1320963054895401,-239.46588134765625,3.4125689387321474,1.4350781440734863
202.90697508823527,590,143.23529411764707,4870,8,34,0.003,95380,0.13898956775665283,-243.6253662109375,3.3020326495170593,0.2504737973213196
208.30659917142853,612,144.65714285714284,5063,8,35,0.003,99240,0.1445501297712326,-242.44863891601562,7.662955343723297,0.5143212676048279
214.6379639722222,639,146.66666666666666,5280,8,36,0.003,103580,0.15220361948013306,-248.46327209472656,6.493960750102997,-0.6914602518081665
218.4577886216216,661,147.72972972972974,5466,8,37,0.003,107300,0.15872521698474884,-249.4203643798828,2.766529417037964,0.23982498049736023
222.05413263157894,686,149.07894736842104,5665,8,38,0.003,111280,0.15574760735034943,-248.75680541992188,5.043581306934357,-0.408617228269577
226.32903546153844,712,150.3846153846154,5865,8,39,0.003,115280,0.14810732007026672,-250.10958862304688,2.7772392511367796,0.5009886622428894
232.45552799999996,740,152.475,6099,8,40,0.003,119960,0.13713619112968445,-246.47833251953125,4.853777116537094,-0.6455337405204773
226.70764434146338,741,148.97560975609755,6108,8,41,0.003,120140,0.1348131000995636,-249.70281982421875,8.349565994739532,0.05237343907356262
221.24004761904757,742,145.61904761904762,6116,8,42,0.003,120300,0.133889839053154,-245.32986450195312,34.51658232212067,0.1424342542886734
227.4007450465116,775,148.48837209302326,6385,8,43,0.003,125680,0.1363793909549713,-247.87628173828125,3.195901358127594,0.056356728076934814
230.4785434772727,796,149.20454545454547,6565,8,44,0.003,129280,0.13402442634105682,-244.897705078125,7.892705404758454,0.40947091579437256
227.4267747555555,815,149.26666666666668,6717,8,45,0.003,132320,0.13459020853042603,-244.5030059814453,11.073516774177552,-0.2784767746925354
