time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/critic_loss
20216,243.56626506024097,83,2,7802,318.64373653012046,402300,0.003,-103.74574279785156,0.02907017432153225,0.0020066797733306885,1.7076444745063781
20382,242.64285714285714,84,2,7866,318.4193896904761,405620,0.003,-104.9267349243164,0.03527626767754555,-0.16474002599716187,2.055093616247177
20487,241.0235294117647,85,2,7906,317.44739647058816,407720,0.003,-105.74314880371094,0.04499000310897827,1.4569058418273926,3.055227589607239
20585,239.36046511627907,86,2,7943,316.43688954651157,409680,0.003,-105.97069549560547,0.0493837371468544,-0.34787890315055847,1.7291746526956557
20688,237.79310344827587,87,2,7983,315.6271584252873,411740,0.003,-108.01077270507812,0.03998800367116928,-0.3004474639892578,1.6455815523862838
20787,236.2159090909091,88,2,8021,314.67863147727275,413720,0.003,-108.16635131835938,0.03622322157025337,0.23578155040740967,1.4532259792089461
20888,234.69662921348313,89,2,8060,313.81722503370787,415740,0.003,-108.35514831542969,0.034704990684986115,0.6205952763557434,1.145750892162323
20988,233.2,90,2,8098,312.9466605888889,417740,0.003,-108.13206481933594,0.03087051771581173,-0.6196277141571045,1.2575202405452728
21090,231.75824175824175,91,2,8137,312.10377284615384,419780,0.003,-108.84375,0.02848508022725582,0.48701995611190796,1.3747925966978074
21197,230.40217391304347,92,2,8179,311.4160975217391,421920,0.003,-106.83483123779297,0.030996404588222504,-0.707978367805481,1.103658065199852
21308,229.11827956989248,93,2,8222,310.78475283870966,424140,0.003,-107.82310485839844,0.030663950368762016,-0.28846275806427,1.4408308416604996
21411,227.77659574468086,94,2,8262,310.0649450212766,426200,0.003,-109.11000061035156,0.029851900413632393,-0.01767861843109131,1.354653263092041
21514,226.46315789473684,95,2,8302,309.38414390526316,428260,0.003,-108.74679565429688,0.032589271664619446,0.2519991099834442,1.6217348992824554
21617,225.17708333333334,96,2,8341,308.73220661458333,430320,0.003,-106.91876983642578,0.03331407532095909,0.6788721084594727,1.6821947395801544
21720,223.91752577319588,97,2,8381,308.09393118556704,432380,0.003,-110.15991973876953,0.037775736302137375,0.10421383380889893,1.3609849572181703
21819,222.64285714285714,98,2,8419,307.27576878571426,434360,0.003,-109.77217102050781,0.03706660121679306,-0.2276943027973175,1.724293690919876
