time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss
3,88.25845424999999,1117,3373,52,64.86538461538461,0.08079668879508972,0.03,65440,-1.072195291519165,-39.38580322265625,34.25424461364746
3,86.55775279245283,1120,3380,53,63.77358490566038,0.07512817531824112,0.03,65580,1.224611759185791,-37.20879364013672,27.860773849487305
3,84.93046535185185,1122,3388,54,62.74074074074074,0.07357592135667801,0.03,65740,0.48761388659477234,-35.439579010009766,27.57411060333252
3,83.38976641818182,1126,3398,55,61.78181818181818,0.07285880297422409,0.03,65940,0.2752200961112976,-29.84622573852539,26.361932277679443
3,81.9215876607143,1129,3408,56,60.857142857142854,0.07412901520729065,0.03,66140,0.2783549726009369,-35.65159606933594,29.102764940261842
3,80.47235954385967,1132,3416,57,59.92982456140351,0.07703229784965515,0.03,66300,1.3751702308654785,-33.49125671386719,44.52619552612305
3,79.10249144827588,1136,3427,58,59.08620689655172,0.087883859872818,0.03,66520,-1.348451852798462,-29.015140533447266,53.520068073272704
3,77.73173867796612,1138,3435,59,58.220338983050844,0.08903598040342331,0.03,66680,-0.3325977027416229,-30.611095428466797,39.658084106445315
3,76.45985551666669,1142,3446,60,57.43333333333333,0.0836515724658966,0.03,66900,-1.1544543504714966,-34.491729736328125,27.081013202667236
3,75.267627295082,1146,3459,61,56.704918032786885,0.07223209738731384,0.03,67160,3.0991427898406982,-29.20445442199707,58.77382802963257
3,74.04678322580646,1150,3468,62,55.935483870967744,0.07890896499156952,0.03,67340,-0.6923475861549377,-27.373361587524414,52.15372085571289
3,72.91148090476193,1154,3480,63,55.23809523809524,0.08130725473165512,0.03,67580,-1.410135269165039,-31.77403450012207,32.221733474731444
3,71.79204645312501,1157,3490,64,54.53125,0.07363460212945938,0.03,67780,-0.22316974401474,-26.864933013916016,30.93558340072632
3,70.67337752307694,1160,3498,65,53.815384615384616,0.07315676659345627,0.03,67940,1.8625497817993164,-32.802574157714844,30.088094806671144
3,75.2658108030303,1219,3669,66,55.59090909090909,0.09416024386882782,0.03,71360,-1.5606532096862793,-29.90118408203125,48.51403017044068
3,79.95487229850748,1276,3835,67,57.23880597014925,0.1123146265745163,0.03,74680,-0.6190860867500305,-35.541786193847656,26.962827682495117
3,84.96027022058826,1340,4022,68,59.14705882352941,0.09396155178546906,0.03,78420,-0.7767347097396851,-34.53239440917969,33.00875234603882
2,89.4394363478261,1404,4210,69,61.01449275362319,0.11343169957399368,0.03,82180,-0.6957519054412842,-33.16093444824219,35.38035593032837
2,93.70006974285715,1462,4385,70,62.642857142857146,0.09021823108196259,0.03,85680,0.23118078708648682,-34.378074645996094,26.752775573730467
2,98.29022063380283,1531,4586,71,64.59154929577464,0.09408073872327805,0.03,89700,-0.04442852735519409,-35.78709411621094,82.33942108154297
2,97.03402894444444,1537,4604,72,63.94444444444444,0.05991741269826889,0.03,90060,3.1855359077453613,-35.945396423339844,28.586596775054932
2,95.70736176712329,1541,4613,73,63.19178082191781,0.07011856138706207,0.03,90240,0.38090699911117554,-36.00603485107422,29.920613765716553
2,94.43101439189189,1544,4623,74,62.472972972972975,0.08603440970182419,0.03,90440,0.33663156628608704,-37.96998596191406,42.64271354675293
2,93.15620462666666,1547,4631,75,61.74666666666667,0.09808242321014404,0.03,90600,0.18463248014450073,-38.58976745605469,23.73184733390808
2,92.00266881578946,1552,4646,76,61.13157894736842,0.09092215448617935,0.03,90900,-2.457371711730957,-34.18036651611328,27.38427791595459
2,90.81074045454544,1555,4656,77,60.467532467532465,0.07155042886734009,0.03,91100,-0.6914451122283936,-40.709571838378906,22.866187238693236
2,89.63954312820512,1559,4665,78,59.80769230769231,0.06502879410982132,0.03,91280,2.7709641456604004,-37.49282455444336,27.979273414611818
2,88.49368650632911,1562,4675,79,59.177215189873415,0.06982263177633286,0.03,91480,1.4861927032470703,-37.30847930908203,44.197550201416014
2,87.3992213125,1565,4686,80,58.575,0.07929427921772003,0.03,91700,-1.0695573091506958,-34.21975326538086,21.354945182800293
2,86.31827974074073,1569,4695,81,57.96296296296296,0.0874909907579422,0.03,91880,1.5578669309616089,-42.42121887207031,26.87584490776062
2,85.30212048780487,1573,4708,82,57.41463414634146,0.10342051833868027,0.03,92140,-0.5069292783737183,-43.82731628417969,27.806781005859374
2,84.28181607228915,1577,4719,83,56.855421686746986,0.0925772488117218,0.03,92360,-0.4418973922729492,-39.70463943481445,22.67250814437866
2,83.29461158333332,1581,4729,84,56.29761904761905,0.07605299353599548,0.03,92560,1.5849051475524902,-36.45447540283203,65.67522678375244
2,82.34958309411765,1585,4741,85,55.77647058823529,0.07879838347434998,0.03,92800,2.069695234298706,-43.33879089355469,32.12639255523682
2,81.42868195348836,1588,4753,86,55.26744186046512,0.09056893736124039,0.03,93040,-1.858483076095581,-46.03874588012695,28.048234987258912
2,80.5067968045977,1592,4765,87,54.770114942528735,0.08233009278774261,0.03,93280,-1.7930045127868652,-39.302528381347656,44.33605909347534
2,79.60175504545455,1596,4775,88,54.26136363636363,0.06872307509183884,0.03,93480,1.6572999954223633,-41.228546142578125,25.861852502822877
2,78.713230752809,1599,4785,89,53.764044943820224,0.0740734189748764,0.03,93680,2.489147424697876,-40.96064758300781,70.86099681854247
2,77.88269581111112,1604,4799,90,53.32222222222222,0.09380551427602768,0.03,93960,1.7552586793899536,-39.07842254638672,38.46573944091797
2,77.04685800000001,1607,4809,91,52.84615384615385,0.10514668375253677,0.03,94160,-1.350860834121704,-41.5327262878418,29.19263439178467
