time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates,train/learning_rate
1119,10014,241.64868150847454,8,169.72881355932202,59,-152.6607666015625,0.06947075575590134,0.2032725214958191,6.458047926425934,198260,0.03
1137,10181,243.01705373333328,8,169.68333333333334,60,-150.5699005126953,0.07226861268281937,2.263530731201172,8.917386102676392,201600,0.03
1160,10394,245.58189508196716,8,170.39344262295083,61,-146.60801696777344,0.07252383232116699,-0.9803605079650879,9.098944497108459,205860,0.03
1185,10625,248.40557566129027,8,171.3709677419355,62,-147.28570556640625,0.08000726252794266,0.7488006949424744,7.036705994606018,210480,0.03
1208,10826,250.6290159523809,8,171.84126984126985,63,-152.50607299804688,0.08583574742078781,-0.040661029517650604,7.022818756103516,214500,0.03
1225,10982,251.68056396875002,8,171.59375,64,-146.73919677734375,0.07002193480730057,3.260077953338623,6.802113008499146,217620,0.03
1245,11168,253.29041087692312,8,171.8153846153846,65,-150.21701049804688,0.08316670358181,-0.5613629221916199,5.3911791205406185,221340,0.03
1261,11312,253.6654025454546,8,171.3939393939394,66,-149.47430419921875,0.11050698906183243,-3.955144166946411,7.43903534412384,224220,0.03
1279,11464,253.99805250746275,8,171.1044776119403,67,-141.04891967773438,0.0867813229560852,-1.0459067821502686,7.425289344787598,227260,0.03
1298,11638,255.97121657352946,8,171.14705882352942,68,-139.53366088867188,0.0842762142419815,-0.9125230312347412,5.53369654417038,230740,0.03
1363,12218,263.0619470869566,8,177.07246376811594,69,-133.00218200683594,0.04990065470337868,-0.024154841899871826,4.384379243850708,242340,0.03
1382,12387,263.96965270000004,8,176.95714285714286,70,-136.1744384765625,0.049716848880052567,-2.2078609466552734,4.827031779289245,245720,0.03
1401,12560,264.6236480563381,8,176.90140845070422,71,-136.0414276123047,0.05938661843538284,-0.2617250978946686,4.277075672149659,249180,0.03
1422,12755,265.67531237500003,8,177.15277777777777,72,-135.57977294921875,0.07705158740282059,-1.123824119567871,5.321814060211182,253080,0.03
1443,12944,267.01177626027396,8,177.31506849315068,73,-136.21734619140625,0.07746871560811996,-1.1871474981307983,4.225370347499847,256860,0.03
1468,13175,269.22216425675674,8,178.04054054054055,74,-135.41946411132812,0.0644698515534401,0.4637741446495056,4.605280697345734,261480,0.03
1491,13382,271.12150142666667,8,178.42666666666668,75,-131.51324462890625,0.0791168287396431,-0.29931074380874634,4.3102782487869264,265620,0.03
1513,13582,272.83529642105265,8,178.71052631578948,76,-131.29571533203125,0.06979721784591675,2.0803756713867188,4.513675045967102,269620,0.03
1538,13812,275.1950274025974,8,179.37662337662337,77,-135.07493591308594,0.06478490680456161,0.23205290734767914,3.816534435749054,274220,0.03
